sample	Acetobacteraceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Anaeroplasmataceae	Bacillaceae 1	Bacillaceae 2	Bacteroidaceae	Bacteroidales_incertae_sedis	Bdellovibrionaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Burkholderiales_incertae_sedis	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Cryomorphaceae	Cytophagaceae	Deferribacteraceae	Defluviitaleaceae	Deinococcaceae	Dermacoccaceae	Desulfohalobiaceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flavobacteriaceae	Gracilibacteraceae	Helicobacteraceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Marinilabiaceae	Marinilabiliaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Neisseriaceae	Nocardiaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptococcaceae 2	Peptostreptococcaceae	Phaselicystidaceae	Phyllobacteriaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhizobiales_incertae_sedis	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Thermoleophilaceae	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	Xanthomonadaceae
feces__J401	0.0	0.0	0.4612135233200281	0.0	0.5841221897759242	0.0	0.0	3.158345347175517	0.28915415631872154	0.0	0.28915415631872154	0.0	0.0	0.0	0.8820891759661048	0.0	0.0	1.8335907552637842	0.0	0.0	0.9783839861709603	0.0	1.057154612332567	0.28915415631872154	1.6485388972942778	0.0	0.28915415631872154	0.0	1.905624615527346	0.6798095901207143	0.0	0.0	0.0	0.8820891759661048	2.2065090022272433	0.0	2.0055295968247853	0.0	1.2325606409851637	1.019552744975692	0.0	0.28915415631872154	0.0	3.774638044947992	2.709959400871857	0.0	0.0	0.0	0.4612135233200281	0.0	0.0	0.4612135233200281	0.0	0.0	0.0	0.0	0.824536126620346	0.0	1.4818376494273926	0.0	0.0	0.0	3.6584256535316326	3.542712050665954	0.0	0.0	0.0	0.0	0.0	0.0	1.683969935286343	2.9321102486547903	3.923791870358554	0.0	0.0	0.0	0.7581738447173804	1.6753794647171114	0.0	0.0	0.9783839861709603	0.7581738447173804	0.9783839861709603	0.824536126620346
feces__J402	0.0	0.0	0.0	0.0	1.3425924835389023	0.0	0.0	3.2626288794489544	0.0	0.0	2.719508834478874	0.0	0.0	0.0	1.4625697519851284	0.0	0.0	3.1630407579924924	0.9544006347300558	0.0	0.6021934133367909	0.0	1.2306163463640094	0.0	1.7636028140691435	0.6021934133367909	0.9032456420177154	0.3011189482240794	1.623422942746647	0.3011189482240794	0.0	0.0	0.0	1.3981107814992264	1.8326841841547392	0.0	0.8452505189644349	0.0	2.464070264720038	1.2789221272050486	0.3011189482240794	0.0	0.0	3.593020524619324	3.2518160077166676	0.0	0.0	0.0	0.0	0.0	0.3011189482240794	0.3011189482240794	0.0	0.0	0.0	0.0	0.6991123196882071	0.0	2.680513029023632	0.0	0.0	0.0	3.681871241895525	3.522622067002354	0.0	0.0	0.0	0.0	0.0	0.0	2.4580591639500615	3.255450293202063	3.663784556441458	0.0	0.3011189482240794	0.0	0.0	2.621353743199803	0.0	0.0	1.2306163463640094	0.47723985408484565	1.3011989899536112	0.0
feces__J403	0.0	0.0	0.5999734361059534	0.0	0.6967439883475034	0.2996400733092028	0.0	3.0270077715789054	0.2996400733092028	0.4752670346353444	0.4752670346353444	0.0	0.0	0.0	0.2996400733092028	0.0	0.0	1.2015102184828763	0.0	0.0	0.0	0.0	1.2015102184828763	0.0	1.4744300458060955	0.0	0.0	0.0	1.7966005771953804	0.0	0.0	0.0	0.6967439883475034	0.6967439883475034	2.0464586543779273	0.0	0.4752670346353444	0.0	0.2996400733092028	1.2015102184828763	0.0	0.0	0.4752670346353444	3.918330001475735	2.2690722361310933	0.0	0.0	0.0	0.8427125854361375	0.0	0.6967439883475034	0.2996400733092028	0.4752670346353444	0.0	0.0	0.0	0.900654695848298	0.0	1.6504902742759684	0.0	0.0	0.0	3.4184915427378493	3.701109198662455	0.0	0.2996400733092028	0.0	0.0	0.0	0.0	1.6407318475160857	2.3110964723083662	3.907520204149625	0.0	0.0	0.0	0.900654695848298	1.3775433042824752	0.0	0.0	0.4752670346353444	0.0	0.0	0.0
feces__J404	0.0	0.0	0.6923271706304274	0.0	0.5958353248061942	0.0	0.0	3.3206752529272623	0.0	0.0	1.2226232022688723	0.0	0.0	0.0	0.9925196220685739	0.0	0.0	2.2469996273117507	0.2968901467185443	0.0	0.2968901467185443	0.0	1.4833130281429219	0.2968901467185443	1.3142995576885117	0.0	0.0	0.7712294146996491	2.6619442603649195	0.4715926399939743	0.0	0.0	0.6923271706304274	1.6908184261196302	2.2397011794203547	0.0	2.144027952944025	0.0	1.9874004916542805	1.2226232022688723	0.0	0.2968901467185443	0.0	3.8652927802089008	2.5407074489547385	0.2968901467185443	0.0	0.0	0.5958353248061942	0.0	0.0	1.1384080624238655	0.0	0.0	0.0	0.0	0.9468552717811862	0.0	1.8047230236653828	0.0	0.0	0.0	3.4942467691991594	3.457809201617166	0.0	0.8958191465923435	0.0	0.0	0.0	0.0	2.017065560352588	2.7208609200665035	3.906922977804585	0.0	0.4715926399939743	0.2968901467185443	0.2968901467185443	2.052451334917051	0.0	0.0	0.4715926399939743	0.2968901467185443	0.6923271706304274	0.0
feces__J405	0.0	0.0	0.31263725172714785	0.0	0.0	0.31263725172714785	0.0	3.340547149639741	0.31263725172714785	0.0	2.1333290115888333	0.0	0.0	0.0	0.6193565770277561	0.0	0.0	2.796661217126494	0.31263725172714785	0.0	0.0	0.0	1.322824984588975	0.0	1.8354822071719263	0.0	0.31263725172714785	0.31263725172714785	0.7173955665903525	0.8648102776973798	0.31263725172714785	0.0	0.0	0.7973278364931202	1.322824984588975	0.0	1.6351515100696565	0.0	1.5663422530306794	1.3004897018549937	0.0	0.6193565770277561	0.0	3.1117387198074615	2.3511871563004894	0.0	0.0	0.0	1.1002297293714909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49252966635403533	0.0	2.075793237166634	0.0	0.0	0.0	3.829292363084571	3.6512960255179436	0.0	0.7173955665903525	0.0	0.0	0.0	0.0	2.1871123097671856	3.2543688394553616	3.859802614106828	0.0	0.49252966635403533	0.0	0.0	2.7832960813051617	0.0	0.0	0.7173955665903525	0.0	0.9746679230681881	0.0
feces__J406	0.0	0.0	0.4567928220903469	0.0	1.2261847846193727	0.0	0.0	3.418783028946867	0.674459155168239	0.2858735711277864	0.8187823225929126	0.0	0.0	0.0	1.0855357311690927	0.0	0.0	3.145541020824532	0.674459155168239	0.4567928220903469	0.674459155168239	0.0	1.1752534113009294	0.0	1.6857570043984187	0.0	0.2858735711277864	0.4567928220903469	1.2261847846193727	0.0	0.0	0.0	0.4567928220903469	0.674459155168239	1.694017941430011	0.0	2.422569965553699	0.0	1.89893406480366	0.8187823225929126	0.5791222722390319	0.0	0.0	3.6189676471178522	2.7913552659395835	0.0	0.2858735711277864	0.0	0.2858735711277864	0.0	0.2858735711277864	0.674459155168239	0.0	0.0	0.0	0.0	0.9723256918880737	0.0	2.6006575120503017	0.0	0.0	0.0	3.7297931901200996	3.6606690502299655	0.0	0.8187823225929126	0.0	0.0	0.0	0.0	1.6133179965905116	2.8861577877382363	3.725704666039598	0.2858735711277864	0.0	0.0	0.4567928220903469	1.4886210901136911	0.0	0.0	0.9269208368453801	0.8187823225929126	0.7525884731648419	0.9723256918880737
feces__J407	0.0	0.0	0.0	0.0	1.4580685400680728	0.0	0.0	2.8802798274132946	0.0	0.44527605443203416	2.103962483794201	0.0	0.0	0.0	0.0	0.0	0.0	2.7748630387592352	0.6604656479532026	0.0	0.6604656479532026	0.0	1.2759773067890605	0.0	1.8270591448503628	0.0	0.0	0.44527605443203416	2.3389123886537733	0.0	0.0	0.0	0.27736767235301185	0.9973629428661321	2.3648101029082333	0.0	0.27736767235301185	0.0	2.1100315962977394	1.158639725882885	0.0	0.27736767235301185	0.0	3.736436100528185	2.468663928715388	0.0	0.0	0.0	0.27736767235301185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6604656479532026	0.0	2.471295078634042	0.0	0.0	0.0	3.498238722687811	3.7600704302688595	0.0	0.0	0.0	0.0	0.0	0.0	1.8710098594834215	2.863064749799477	3.89337502652621	0.0	0.0	0.0	0.0	1.989210381158263	0.0	0.0	0.8037082028641088	0.0	0.0	0.0
feces__J408	0.0	0.0	0.0	0.0	0.9677324709682936	0.0	0.0	3.162125386620019	0.0	0.0	0.8144226601352587	0.0	0.2834003189602889	0.0	0.45345231585796525	0.0	0.0	1.3457671987572974	0.0	0.0	0.2834003189602889	0.0	1.2447195104958388	0.0	1.9813887500602743	0.2834003189602889	0.6704084508367252	0.6704084508367252	1.8989293428732683	0.0	0.0	0.0	0.7483578821781846	0.7483578821781846	2.107279387307459	0.0	1.17045451887423	0.0	1.008786675826602	1.0462929681422353	0.0	0.6704084508367252	0.0	3.9770040920156617	2.556267355882086	0.0	0.0	0.45345231585796525	0.0	0.0	1.3804093996214375	0.0	0.0	0.0	0.0	0.0	1.0462929681422353	0.0	1.3081203015763179	0.0	0.0	0.0	3.478686619364109	3.2085404879645782	0.0	0.0	0.0	0.0	0.0	0.0	1.544764969270127	2.8783834782526343	3.9348102245974768	0.2834003189602889	0.0	0.0	0.0	1.9600088202374444	0.0	0.0	0.45345231585796525	0.0	0.0	0.5753396335578446
feces__J409	0.0	0.0	0.4539735802309652	0.0	0.9684500871159194	0.0	0.0	3.2923792689904645	0.6710409737494971	0.0	1.3811801011544411	0.0	0.0	0.0	0.4539735802309652	0.0	0.0	2.613241163429101	0.8151036318629746	0.0	0.283785928601214	0.0	0.9230964108367943	0.0	1.7782758630754727	0.4539735802309652	0.0	0.0	0.7490186102181775	0.8724481288041475	0.0	0.0	0.0	0.283785928601214	0.8724481288041475	0.0	1.7782758630754727	0.0	1.956398831564933	1.1135380158114854	0.0	0.0	0.0	3.4655955091187294	2.1903262460067867	0.0	0.0	0.0	0.283785928601214	0.0	1.1973992376904494	0.4539735802309652	0.0	0.283785928601214	0.0	0.0	1.1973992376904494	0.0	2.3285694453649017	0.0	0.0	0.0	3.646228553588232	3.9369129004207064	0.0	0.0	0.0	0.0	0.0	0.283785928601214	2.174540058279996	2.9262599277527044	3.7375665967296046	0.0	0.0	0.0	0.4539735802309652	2.5187841989617343	0.0	0.0	0.4539735802309652	0.0	0.7490186102181775	1.3975184508453924
feces__J410	0.0	0.0	0.0	0.0	0.8463752398451679	0.0	0.0	3.2083146541082757	0.0	0.0	0.9043937552525954	0.0	0.0	0.0	0.47811495678757016	0.0	0.0	1.5925161750808898	0.47811495678757016	0.0	0.3017754852904923	0.0	0.8463752398451679	0.0	1.6142372850332025	0.0	0.0	0.0	0.9555669409105776	0.3017754852904923	0.0	0.0	0.3017754852904923	0.8463752398451679	1.3236381740786354	0.0	0.3017754852904923	0.0	1.5812341611070746	0.9555669409105776	0.0	0.0	0.0	3.6421695148972386	2.6298751326332717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7338559209128184	0.0	2.4011574983141917	0.0	0.0	0.0	3.5197399021564375	3.998526262922235	0.0	0.0	0.0	0.0	0.0	0.0	1.5925161750808898	2.2779436373577644	3.7253553853570556	0.0	0.0	0.0	0.0	2.1444938029762786	0.0	0.0	0.9043937552525954	0.0	0.0	0.0
