Taxa	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
Bifidobacteriaceae	1.0	366.0	2.0	13.0	88.0	4.0	101.0	4.0	22.0	5.0	6.0	139.0	1289.0	53.0	365.0	0.0	0.0	509.0	1122.0	655.0	5.0	204.0	0.0	5.0	235.0	1.0	0.0	130.0	1.0	104.0	76.0	2.0	0.0	0.0	1.0	10.0	81.0	689.0	4.0	3.0	108.0	187.0
Desulfovibrionaceae	148.0	100.0	89.0	239.0	25.0	64.0	215.0	133.0	9.0	30.0	119.0	112.0	15.0	92.0	57.0	79.0	16.0	56.0	157.0	84.0	109.0	43.0	36.0	42.0	47.0	110.0	47.0	124.0	8.0	49.0	63.0	54.0	223.0	38.0	37.0	47.0	40.0	48.0	112.0	231.0	68.0	18.0
Bacteroidaceae	1335.0	1548.0	991.0	1817.0	1831.0	2482.0	780.0	1379.0	1784.0	1379.0	638.0	1709.0	1420.0	1610.0	2155.0	952.0	1811.0	1513.0	1588.0	1605.0	1719.0	1646.0	1596.0	3762.0	1818.0	1643.0	3740.0	2075.0	3632.0	1304.0	1452.0	1708.0	1154.0	3071.0	4379.0	2749.0	1900.0	2027.0	2077.0	1943.0	2546.0	4749.0
Prevotellaceae	1425.0	789.0	2871.0	1324.0	1930.0	1541.0	3651.0	1074.0	7151.0	7053.0	784.0	1622.0	2415.0	3647.0	663.0	5141.0	9891.0	1830.0	494.0	2703.0	4537.0	3843.0	6091.0	2044.0	1287.0	5454.0	2796.0	3174.0	3104.0	1998.0	847.0	3229.0	2830.0	2692.0	3439.0	2139.0	3933.0	1643.0	3228.0	4925.0	1341.0	1032.0
Porphyromonadaceae	113.0	125.0	35.0	100.0	98.0	127.0	36.0	88.0	107.0	64.0	122.0	108.0	109.0	102.0	159.0	105.0	131.0	87.0	129.0	94.0	86.0	114.0	129.0	371.0	139.0	154.0	422.0	134.0	226.0	136.0	96.0	74.0	42.0	244.0	563.0	233.0	84.0	121.0	127.0	56.0	295.0	255.0
Coriobacteriaceae	24.0	24.0	16.0	11.0	37.0	29.0	45.0	60.0	36.0	27.0	26.0	39.0	124.0	36.0	12.0	52.0	38.0	87.0	75.0	42.0	116.0	23.0	13.0	49.0	79.0	35.0	38.0	55.0	8.0	38.0	17.0	17.0	21.0	10.0	36.0	31.0	37.0	55.0	21.0	28.0	59.0	35.0
S24-7	3914.0	3932.0	2174.0	2375.0	5265.0	4613.0	3027.0	2598.0	3733.0	2760.0	1790.0	5657.0	4894.0	3157.0	3078.0	2977.0	3149.0	5095.0	5186.0	3455.0	5346.0	5582.0	5763.0	5675.0	4467.0	3515.0	2978.0	4647.0	5986.0	3872.0	2785.0	6886.0	4070.0	5225.0	3307.0	2915.0	2861.0	3401.0	4089.0	4613.0	5561.0	4454.0
Victivallaceae	3.0	10.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	6.0	0.0	0.0	1.0	0.0	8.0	0.0	15.0	11.0	1.0	0.0	3.0	0.0	0.0	2.0	2.0	3.0	0.0	3.0	4.0	0.0	4.0	0.0
Lachnospiraceae	1068.0	435.0	1529.0	924.0	248.0	587.0	950.0	2163.0	227.0	592.0	1248.0	521.0	312.0	734.0	278.0	2598.0	676.0	627.0	361.0	499.0	1131.0	421.0	303.0	620.0	474.0	906.0	495.0	460.0	220.0	383.0	348.0	217.0	546.0	334.0	297.0	386.0	492.0	350.0	454.0	819.0	469.0	418.0
Aerococcaceae	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
