Taxa	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
Adlercreutzia	24	19	14	11	29	27	42	59	33	25	25	30	89	30	10	50	38	64	59	38	114	22	9	48	68	25	37	48	8	32	15	15	18	10	33	22	28	43	16	26	36	28
Clostridium	12	22	4	6	15	27	28	62	28	31	65	33	28	34	22	12	62	51	20	29	5	27	15	24	13	48	6	10	8	6	21	30	36	12	39	9	9	20	5	14	31	8
Turicibacter	11	160	0	55	21	48	75	9	57	20	8	25	7	35	89	3	8	40	28	17	107	30	16	0	26	34	49	89	200	42	70	85	23	27	20	21	21	24	10	21	9	150
Propionibacterium	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	1	3	0	0	3	0	0	1	4
Butyricimonas	50	19	21	31	10	47	26	6	8	22	28	23	12	29	48	13	24	16	71	38	10	17	12	33	20	35	58	32	31	16	15	16	2	51	34	28	12	21	12	13	26	22
Prevotella	1425	789	2871	1324	1930	1541	3651	1074	7151	7053	784	1622	2415	3647	663	5141	9891	1830	494	2703	4537	3843	6091	2044	1287	5454	2796	3174	3104	1998	847	3229	2830	2692	3439	2139	3933	1643	3228	4925	1341	1032
Sutterella	34	279	11	84	421	20	74	52	222	99	78	371	1949	217	213	112	217	376	716	103	27	436	285	406	759	149	304	621	298	716	33	406	45	94	420	403	758	834	163	59	742	484
Odoribacter	1	31	4	0	6	0	0	0	0	0	50	40	0	0	10	0	0	28	8	0	1	3	0	18	0	0	0	55	0	1	44	0	0	78	0	42	0	31	27	0	68	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	42	0	0	5	0	0	3	11	2	0	0	0	0	2	0	1	0	0	18	14	0	0	9	1	0	61
Pseudomonas	0	0	0	4	3	4	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	2	0	1	2	0	3	0	0	1	1	1	0	1	10	7	0	16	2	1	2	8
Methylobacterium	2	0	6	3	11	1	1	0	1	0	9	1	1	1	1	0	2	0	3	4	0	1	3	0	9	4	6	1	1	3	4	3	1	3	5	3	7	25	6	25	54	12
Mucispirillum	49	20	36	270	4	7	140	57	2	3	10	6	4	52	8	16	7	4	23	8	9	18	33	7	2	120	11	35	0	6	7	7	139	2	7	1	7	2	12	83	5	22
Aerococcus	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	2	1	0	0	1	1	0	0	0	0	0	0	1
Corynebacterium	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	6	2	0	0	0	0	0	1	2	0	0	1	0	0	0	1	4	0	0	0	0	1	2
Desulfovibrio	80	32	5	89	14	4	51	76	7	14	54	51	10	27	41	0	1	24	82	18	74	29	20	31	24	33	22	70	7	28	38	33	152	25	21	35	35	25	41	154	41	10
AF12	2	8	7	41	5	5	36	25	0	10	9	0	4	23	7	0	2	5	3	7	2	8	0	6	1	2	3	0	3	0	13	0	43	0	3	9	0	7	10	0	0	13
Acinetobacter	2	0	0	10	0	2	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	1	3	4	0	0	0	0	8	5
Blautia	2	1	5	1	11	2	1	0	33	3	0	18	4	4	2	13	77	0	4	0	1	7	5	53	17	33	9	10	5	5	0	2	3	6	19	2	42	2	15	16	11	5
