Taxa	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
Pseudomonadales	2.0	0.0	0.0	14.0	3.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	9.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	3.0	2.0	0.0	4.0	0.0	0.0	3.0	1.0	1.0	0.0	2.0	13.0	11.0	0.0	16.0	2.0	1.0	10.0	13.0
CW040	16.0	6.0	0.0	5.0	9.0	20.0	9.0	39.0	7.0	15.0	15.0	16.0	24.0	197.0	6.0	105.0	13.0	8.0	31.0	9.0	31.0	40.0	5.0	25.0	8.0	11.0	4.0	15.0	0.0	3.0	18.0	3.0	7.0	7.0	2.0	4.0	13.0	14.0	26.0	10.0	20.0	19.0
Bacteroidales	9108.0	9651.0	7584.0	7201.0	11939.0	11756.0	9907.0	6310.0	14337.0	12824.0	3953.0	11462.0	10650.0	9791.0	7734.0	9600.0	17064.0	11683.0	8674.0	8956.0	13379.0	12705.0	15070.0	15298.0	9909.0	11989.0	13175.0	10905.0	15991.0	7919.0	7786.0	13004.0	9125.0	15533.0	13729.0	10733.0	9920.0	8938.0	11533.0	12631.0	10822.0	13041.0
Burkholderiales	34.0	279.0	11.0	84.0	421.0	20.0	74.0	52.0	222.0	99.0	78.0	371.0	1949.0	217.0	213.0	112.0	217.0	376.0	716.0	103.0	27.0	436.0	285.0	406.0	759.0	149.0	304.0	621.0	298.0	716.0	33.0	406.0	45.0	94.0	420.0	403.0	758.0	834.0	163.0	59.0	742.0	484.0
Deferribacterales	49.0	20.0	36.0	270.0	4.0	7.0	140.0	57.0	2.0	3.0	10.0	6.0	4.0	52.0	8.0	16.0	7.0	4.0	23.0	8.0	9.0	18.0	33.0	7.0	2.0	120.0	11.0	35.0	0.0	6.0	7.0	7.0	139.0	2.0	7.0	1.0	7.0	2.0	12.0	83.0	5.0	22.0
Clostridiales	10484.0	7325.0	9817.0	9833.0	7510.0	8631.0	11067.0	12741.0	6824.0	7023.0	12428.0	6891.0	4884.0	8313.0	7920.0	10917.0	9614.0	7672.0	6717.0	7111.0	9640.0	6091.0	7556.0	6240.0	8685.0	8107.0	8659.0	7629.0	4375.0	6007.0	6149.0	7580.0	11990.0	6282.0	7954.0	9005.0	6772.0	9002.0	8199.0	10290.0	6990.0	7573.0
Sphingomonadales	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	12.0	5.0	12.0	12.0	16.0	6.0	8.0	13.0
ML615J-28	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	3.0	4.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	1.0	7.0	0.0	0.0
Actinomycetales	0.0	3.0	4.0	0.0	0.0	0.0	0.0	16.0	1.0	0.0	6.0	0.0	2.0	0.0	4.0	2.0	0.0	1.0	3.0	8.0	2.0	1.0	0.0	1.0	6.0	3.0	5.0	4.0	0.0	0.0	1.0	1.0	0.0	2.0	8.0	7.0	3.0	6.0	0.0	0.0	2.0	7.0
Coriobacteriales	24.0	24.0	16.0	11.0	37.0	29.0	45.0	60.0	36.0	27.0	26.0	39.0	124.0	36.0	12.0	52.0	38.0	87.0	75.0	42.0	116.0	23.0	13.0	49.0	79.0	35.0	38.0	55.0	8.0	38.0	17.0	17.0	21.0	10.0	36.0	31.0	37.0	55.0	21.0	28.0	59.0	35.0
Turicibacterales	11.0	160.0	0.0	55.0	21.0	48.0	75.0	9.0	57.0	20.0	8.0	25.0	7.0	35.0	89.0	3.0	8.0	40.0	28.0	17.0	107.0	30.0	16.0	0.0	26.0	34.0	49.0	89.0	200.0	42.0	70.0	85.0	23.0	27.0	20.0	21.0	21.0	24.0	10.0	21.0	9.0	150.0
Verrucomicrobiales	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Anaeroplasmatales	3.0	20.0	1.0	3.0	0.0	13.0	21.0	4.0	7.0	5.0	36.0	5.0	5.0	1.0	2.0	8.0	2.0	4.0	7.0	7.0	11.0	2.0	21.0	1.0	6.0	4.0	18.0	1.0	4.0	1.0	0.0	3.0	3.0	13.0	0.0	2.0	1.0	3.0	15.0	2.0	2.0	24.0
Rhizobiales	2.0	0.0	6.0	3.0	11.0	1.0	1.0	0.0	1.0	0.0	9.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	3.0	4.0	0.0	1.0	3.0	0.0	9.0	4.0	6.0	1.0	1.0	3.0	4.0	3.0	1.0	3.0	5.0	3.0	7.0	25.0	6.0	25.0	54.0	12.0
Victivallales	3.0	10.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	6.0	0.0	0.0	1.0	0.0	8.0	0.0	15.0	11.0	1.0	0.0	3.0	0.0	0.0	2.0	2.0	3.0	0.0	3.0	4.0	0.0	4.0	0.0
