#OTU ID	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo30	7	2	8	16	0	3	18	4	5	6	17	8	1	4	1	13	5	4	5	9	8	3	3	4	5	20	2	2	2	3	5	2	13	5	1	1	3	12	10	16	4	2
denovo59	0	0	0	0	0	0	6	1	6	0	1	0	1	10	0	2	15	3	0	10	10	0	10	1	0	8	0	8	2	3	0	8	7	0	1	0	3	0	0	12	2	1
denovo70	0	1	0	0	0	1	1	1	2	0	0	0	0	3	3	0	0	1	4	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	5	0	0	0	0	0	0
denovo110	1	2	1	7	1	3	0	5	2	0	1	1	0	4	0	2	4	0	5	0	1	5	0	0	0	0	7	3	12	3	0	3	3	2	15	9	2	5	2	2	12	10
denovo116	0	0	4	0	0	2	2	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	2	0	0
denovo137	0	2	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	3	1	2	0	0	0	3	1	0	0	0	3	3	4	3
denovo170	0	17	7	7	3	8	0	2	16	9	1	5	15	4	1	28	2	10	2	0	4	4	6	37	0	5	11	3	12	0	1	9	4	12	8	5	3	42	14	0	6	22
denovo187	4	22	1	14	6	6	0	0	1	4	9	0	5	10	0	0	0	9	0	6	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	5	1	0	0	0
denovo211	0	0	2	0	0	3	0	1	2	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	1	2	1	1	2	0	0	6
denovo224	9	5	7	5	5	17	9	4	13	25	1	19	8	17	10	18	16	17	24	8	11	18	33	26	18	7	27	27	21	14	11	6	7	41	51	3	17	14	8	58	17	18
denovo231	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	2	0	0	2
denovo250	0	1	0	4	7	8	0	2	0	0	3	8	3	0	5	3	8	0	5	3	0	4	7	4	0	0	2	4	10	3	2	3	3	9	12	1	6	0	0	2	5	8
denovo259	0	2	0	0	4	1	2	0	0	0	0	0	0	9	4	0	0	1	4	0	0	0	0	0	2	0	7	4	0	0	2	0	0	0	0	3	0	4	0	0	0	1
denovo307	0	1	0	0	4	2	0	2	5	0	0	5	4	0	1	0	2	11	3	2	8	8	0	1	1	2	6	1	10	4	4	0	2	6	2	6	2	13	0	0	4	12
denovo330	3	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	3	0	4	0	0	1	2	1	9	0	2	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1
