#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo30	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	7	2	8	16	0	3	18	4	5	6	17	8	1	4	1	13	5	4	5	9	8	3	3	4	5	20	2	2	2	3	5	2	13	5	1	1	3	12	10	16	4	2
denovo59	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	0	0	0	0	6	1	6	0	1	0	1	10	0	2	15	3	0	10	10	0	10	1	0	8	0	8	2	3	0	8	7	0	1	0	3	0	0	12	2	1
denovo70	Unassigned	0	1	0	0	0	1	1	1	2	0	0	0	0	3	3	0	0	1	4	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	5	0	0	0	0	0	0
denovo110	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	1	2	1	7	1	3	0	5	2	0	1	1	0	4	0	2	4	0	5	0	1	5	0	0	0	0	7	3	12	3	0	3	3	2	15	9	2	5	2	2	12	10
denovo116	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0	0	4	0	0	2	2	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	2	0	0
denovo137	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	2	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	3	1	2	0	0	0	3	1	0	0	0	3	3	4	3
denovo170	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__Paraprevotella; s__	0	17	7	7	3	8	0	2	16	9	1	5	15	4	1	28	2	10	2	0	4	4	6	37	0	5	11	3	12	0	1	9	4	12	8	5	3	42	14	0	6	22
denovo187	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	4	22	1	14	6	6	0	0	1	4	9	0	5	10	0	0	0	9	0	6	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	5	1	0	0	0
denovo211	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	0	2	0	0	3	0	1	2	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	1	2	1	1	2	0	0	6
denovo224	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	9	5	7	5	5	17	9	4	13	25	1	19	8	17	10	18	16	17	24	8	11	18	33	26	18	7	27	27	21	14	11	6	7	41	51	3	17	14	8	58	17	18
denovo231	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	2	0	0	2
denovo250	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	1	0	4	7	8	0	2	0	0	3	8	3	0	5	3	8	0	5	3	0	4	7	4	0	0	2	4	10	3	2	3	3	9	12	1	6	0	0	2	5	8
denovo259	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	2	0	0	4	1	2	0	0	0	0	0	0	9	4	0	0	1	4	0	0	0	0	0	2	0	7	4	0	0	2	0	0	0	0	3	0	4	0	0	0	1
denovo307	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	1	0	0	4	2	0	2	5	0	0	5	4	0	1	0	2	11	3	2	8	8	0	1	1	2	6	1	10	4	4	0	2	6	2	6	2	13	0	0	4	12
denovo330	Unassigned	3	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	3	0	4	0	0	1	2	1	9	0	2	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1
denovo336	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	3	0	1	0	0	0	1	0	1	0	0	1	0	0	1
denovo364	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	8	1	17	9	2	4	9	16	2	3	25	2	0	6	2	4	1	7	2	12	14	8	0	0	2	9	0	4	0	1	5	4	23	3	1	5	3	2	15	29	1	0
denovo406	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	13	0	18	24	0	3	41	0	75	127	9	10	37	49	0	70	103	17	1	1	81	36	53	1	0	67	32	55	30	27	0	50	19	0	25	31	46	0	50	74	17	0
