Taxa	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
Proteobacteria	364.0	823.0	160.0	600.0	710.0	381.0	402.0	250.0	532.0	179.0	318.0	796.0	2371.0	607.0	739.0	431.0	325.0	541.0	1116.0	338.0	218.0	712.0	721.0	614.0	1292.0	375.0	676.0	927.0	760.0	927.0	203.0	978.0	344.0	1006.0	1046.0	796.0	917.0	1071.0	680.0	430.0	1592.0	840.0
Verrucomicrobia	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Unclassified	1739.0	1156.0	915.0	847.0	1583.0	2159.0	1125.0	607.0	1320.0	934.0	500.0	1159.0	1174.0	658.0	747.0	845.0	1277.0	1217.0	1031.0	628.0	1069.0	1071.0	1540.0	1351.0	2459.0	1124.0	1667.0	575.0	1610.0	635.0	882.0	848.0	874.0	2144.0	918.0	1259.0	1734.0	866.0	971.0	879.0	878.0	1088.0
Deferribacteres	49.0	20.0	36.0	270.0	4.0	7.0	140.0	57.0	2.0	3.0	10.0	6.0	4.0	52.0	8.0	16.0	7.0	4.0	23.0	8.0	9.0	18.0	33.0	7.0	2.0	120.0	11.0	35.0	0.0	6.0	7.0	7.0	139.0	2.0	7.0	1.0	7.0	2.0	12.0	83.0	5.0	22.0
Lentisphaerae	3.0	10.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	6.0	0.0	0.0	1.0	0.0	8.0	0.0	15.0	11.0	1.0	0.0	3.0	0.0	0.0	2.0	2.0	3.0	0.0	3.0	4.0	0.0	4.0	0.0
Actinobacteria	25.0	393.0	22.0	24.0	125.0	33.0	146.0	80.0	59.0	32.0	38.0	178.0	1415.0	89.0	381.0	54.0	38.0	597.0	1200.0	705.0	123.0	228.0	13.0	55.0	320.0	39.0	43.0	189.0	9.0	142.0	94.0	20.0	21.0	12.0	45.0	48.0	121.0	750.0	25.0	31.0	169.0	229.0
Bacteroidetes	9108.0	9651.0	7584.0	7201.0	11939.0	11756.0	9907.0	6310.0	14337.0	12824.0	3953.0	11462.0	10650.0	9791.0	7734.0	9600.0	17064.0	11683.0	8674.0	8956.0	13379.0	12705.0	15070.0	15298.0	9909.0	11989.0	13175.0	10905.0	15991.0	7919.0	7786.0	13004.0	9125.0	15533.0	13729.0	10733.0	9920.0	8938.0	11533.0	12631.0	10822.0	13041.0
Tenericutes	5.0	23.0	1.0	4.0	0.0	13.0	21.0	4.0	11.0	8.0	36.0	5.0	5.0	1.0	12.0	8.0	2.0	8.0	8.0	7.0	11.0	2.0	24.0	4.0	10.0	4.0	26.0	5.0	4.0	1.0	0.0	3.0	3.0	14.0	0.0	2.0	1.0	9.0	16.0	9.0	2.0	24.0
Firmicutes	11048.0	9335.0	10015.0	10274.0	7757.0	9366.0	11480.0	13187.0	7064.0	7458.0	12808.0	7390.0	5955.0	8531.0	8878.0	11250.0	9802.0	8333.0	7791.0	8331.0	10047.0	6494.0	7670.0	6997.0	9161.0	8443.0	9215.0	8313.0	4808.0	6195.0	6915.0	7767.0	12098.0	7568.0	8389.0	9308.0	7443.0	9553.0	8465.0	10520.0	7762.0	8347.0
TM7	16.0	6.0	0.0	5.0	9.0	20.0	9.0	39.0	7.0	15.0	15.0	16.0	24.0	197.0	6.0	105.0	13.0	8.0	31.0	9.0	31.0	40.0	5.0	25.0	8.0	11.0	4.0	15.0	0.0	3.0	18.0	3.0	7.0	7.0	2.0	4.0	13.0	14.0	26.0	10.0	20.0	19.0
