Taxa	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
flavefaciens	305.0	79.0	141.0	143.0	231.0	151.0	209.0	34.0	3.0	313.0	0.0	98.0	138.0	124.0	510.0	388.0	658.0	343.0	225.0	182.0	41.0	315.0	153.0	327.0	470.0	59.0	136.0	340.0	43.0	84.0	154.0	121.0	103.0	145.0	15.0	115.0	245.0	139.0	0.0	107.0	297.0	117.0
schaedleri	49.0	20.0	36.0	270.0	4.0	7.0	140.0	57.0	2.0	3.0	10.0	6.0	4.0	52.0	8.0	16.0	7.0	4.0	23.0	8.0	9.0	18.0	33.0	7.0	2.0	120.0	11.0	35.0	0.0	6.0	7.0	7.0	139.0	2.0	7.0	1.0	7.0	2.0	12.0	83.0	5.0	22.0
acidifaciens	52.0	66.0	9.0	59.0	76.0	46.0	47.0	30.0	34.0	30.0	10.0	84.0	85.0	53.0	56.0	25.0	66.0	55.0	36.0	51.0	46.0	46.0	65.0	66.0	70.0	68.0	48.0	44.0	121.0	32.0	95.0	137.0	49.0	127.0	22.0	58.0	88.0	75.0	50.0	34.0	50.0	91.0
gnavus	110.0	37.0	73.0	45.0	14.0	2.0	34.0	82.0	17.0	32.0	35.0	29.0	10.0	31.0	15.0	26.0	12.0	43.0	26.0	34.0	16.0	13.0	8.0	14.0	16.0	53.0	28.0	15.0	4.0	20.0	6.0	8.0	30.0	6.0	7.0	24.0	24.0	22.0	23.0	58.0	22.0	16.0
muciniphila	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
uniformis	46.0	154.0	39.0	40.0	132.0	113.0	21.0	26.0	83.0	52.0	34.0	74.0	58.0	46.0	38.0	59.0	107.0	67.0	75.0	64.0	89.0	118.0	76.0	207.0	119.0	250.0	177.0	91.0	146.0	58.0	106.0	79.0	61.0	113.0	318.0	87.0	56.0	93.0	65.0	138.0	95.0	238.0
plebeius	10.0	4.0	7.0	5.0	25.0	10.0	6.0	0.0	9.0	2.0	0.0	1.0	7.0	0.0	0.0	1.0	8.0	1.0	7.0	4.0	8.0	13.0	13.0	39.0	5.0	0.0	1.0	9.0	18.0	0.0	7.0	18.0	7.0	13.0	0.0	0.0	4.0	8.0	23.0	0.0	13.0	15.0
distasonis	64.0	32.0	28.0	48.0	45.0	89.0	30.0	26.0	74.0	47.0	66.0	60.0	48.0	42.0	83.0	83.0	69.0	38.0	42.0	34.0	35.0	47.0	68.0	106.0	41.0	123.0	221.0	62.0	70.0	105.0	30.0	61.0	35.0	113.0	412.0	111.0	31.0	35.0	63.0	26.0	80.0	83.0
reuteri	0.0	2.0	2.0	6.0	0.0	0.0	5.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	3.0	4.0	0.0	2.0	0.0	0.0	6.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	4.0	3.0
ovatus	9.0	7.0	0.0	7.0	8.0	6.0	0.0	2.0	3.0	1.0	1.0	19.0	8.0	2.0	6.0	8.0	2.0	9.0	5.0	3.0	8.0	9.0	4.0	13.0	7.0	4.0	5.0	10.0	11.0	4.0	11.0	17.0	1.0	7.0	2.0	3.0	2.0	2.0	4.0	1.0	8.0	7.0
adolescentis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	5.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0
Unclassified	21071.0	20980.0	15872.0	17593.0	21586.0	23050.0	20307.0	19944.0	18147.0	15615.0	17035.0	20491.0	19878.0	16517.0	17734.0	17471.0	18757.0	21399.0	19211.0	15930.0	21229.0	18520.0	19997.0	22757.0	22375.0	16846.0	22564.0	18418.0	21241.0	14435.0	15465.0	20975.0	19996.0	25744.0	20453.0	20855.0	16359.0	20796.0	20090.0	19850.0	19992.0	22606.0
