Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Actinobacteria	43	544	33	31	179	54	198	119	106	38	66	254	1711	145	468	78	57	778	1447	897	175	277	26	91	420	56	71	272	23	187	133	38	36	26	73	75	171	863	46	46	234	309
Alphaproteobacteria	114	362	84	151	206	80	115	68	214	49	106	233	342	236	377	179	61	88	194	117	57	163	317	81	420	102	238	149	326	125	91	454	70	795	383	250	95	139	270	108	223	270
Bacilli	604	1871	202	379	227	706	324	400	186	435	354	475	1125	174	836	336	201	656	1073	1249	287	404	99	757	442	328	502	583	245	147	697	118	91	1253	447	251	620	491	260	212	776	687
Bacteroidia	10376	11498	8642	8434	14170	13973	11178	6941	16933	14741	4507	13681	12931	11628	8813	10439	18836	13622	10386	10415	14985	14971	17570	18186	11462	13579	15133	12520	19465	9404	9154	14861	10181	18339	15868	12644	11344	9946	13285	13946	12677	15609
Betaproteobacteria	49	383	18	106	523	30	96	91	317	123	103	501	2507	298	293	175	304	505	903	148	45	583	442	620	981	227	416	793	395	896	53	529	66	132	576	535	975	1002	218	86	1011	619
Clostridia	15391	10665	16695	15979	8993	12803	16046	19836	9939	10291	19350	9468	6410	11251	10239	14817	9719	10253	9026	10115	12760	7257	9842	7924	11117	12373	10181	10220	5305	8732	8894	10092	18856	7810	9289	12040	8215	11485	11764	14570	10422	9332
Deferribacteres	79	34	57	449	4	16	236	83	4	7	18	16	5	86	19	41	11	5	39	14	21	32	64	10	3	198	19	69	4	8	18	15	239	4	8	3	12	6	16	130	10	35
Deinococci	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deltaproteobacteria	173	108	122	279	28	71	252	147	10	30	118	130	17	104	64	94	20	60	184	108	131	51	40	48	62	135	50	140	11	61	68	64	254	45	41	52	46	51	112	250	71	20
Epsilonproteobacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichia	15	213	0	76	34	66	114	10	77	31	9	41	13	52	112	4	17	63	35	35	149	47	19	0	37	44	59	116	255	58	100	118	39	33	20	27	35	41	12	24	11	200
Flavobacteria	8	19	0	1	2	12	4	4	1	1	28	12	7	8	10	1	9	1	9	8	2	1	2	1	4	6	14	3	10	4	10	6	3	0	3	18	8	2	0	0	15	11
Gammaproteobacteria	101	7	3	155	41	285	1	17	85	1	18	77	48	8	9	4	11	24	9	27	19	79	3	113	10	9	62	24	118	9	5	3	1	21	120	95	20	20	144	2	778	57
Lentisphaeria	7	19	0	3	7	3	0	0	4	0	9	8	0	1	4	1	0	1	8	11	0	0	1	0	10	0	24	18	1	1	6	0	0	2	2	3	0	3	6	2	4	0
Mollicutes	3	20	1	3	0	14	23	5	7	5	38	5	5	1	2	8	2	4	7	7	12	2	22	1	6	4	18	1	4	1	0	3	3	13	0	3	2	3	15	2	2	26
Negativicutes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteria	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0
Verrucomicrobiae	5	2	0	1	0	6	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	6	0	0	4	0	7	0	0	7	4	0	0	1	5	1	0	0	0	0	0	1
