sample	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Clostridia	Cytophagia	Deferribacteres	Deltaproteobacteria	Erysipelotrichia	Flavobacteriia	Gammaproteobacteria	Lentisphaeria	Mollicutes	Negativicutes	Sphingobacteriia	Verrucomicrobiae
feces__J401	47	131	736	11513	60	16854	0	84	208	17	9	114	9	3	12	0	5
feces__J402	584	500	2173	12460	421	12017	1	41	120	290	41	7	19	21	19	0	2
feces__J403	35	65	260	9374	26	17982	3	62	145	1	0	4	0	4	3	0	0
feces__J404	36	205	460	9327	118	17547	5	467	317	98	2	164	5	3	5	0	1
feces__J405	194	261	272	15415	580	10597	2	4	35	34	13	44	8	0	10	0	0
feces__J406	58	115	881	15194	39	14175	2	17	81	84	22	306	5	17	11	1	6
feces__J407	216	123	401	12149	108	17337	2	243	299	143	10	1	0	31	7	0	0
feces__J408	135	57	497	7941	99	21170	6	85	163	10	19	18	0	9	2	1	0
feces__J409	111	298	225	17979	362	11308	0	5	11	97	1	92	5	9	4	0	0
feces__J410	47	47	509	15480	139	11367	0	8	33	37	2	1	0	6	7	0	0
feces__J411	70	111	439	5180	110	20640	0	20	147	10	61	19	9	50	10	0	0
feces__J412	263	309	596	14689	547	10868	0	18	154	48	35	83	9	10	15	0	0
feces__J413	1820	435	1270	13872	2724	7469	0	5	24	16	16	56	0	5	5	0	7
feces__J414	160	325	205	12519	337	13092	5	90	119	72	24	8	1	1	6	1	0
feces__J415	491	496	953	9783	333	11518	2	20	74	143	28	9	4	2	6	0	0
feces__J416	86	254	396	11255	195	16053	2	43	103	5	3	4	1	8	5	0	1
feces__J417	60	102	222	19608	319	12410	5	13	20	20	32	11	0	2	10	0	3
feces__J418	837	106	769	14545	547	11785	2	8	69	77	13	27	1	6	10	1	0
feces__J419	1502	253	1254	11543	989	10271	2	43	218	48	27	11	10	9	8	0	0
feces__J420	926	163	1460	11374	160	11298	1	18	132	51	28	31	22	10	9	0	0
feces__J421	185	67	344	16024	63	13927	3	23	157	175	5	25	0	16	9	1	0
feces__J422	291	213	459	15807	638	9035	0	34	60	56	7	84	0	2	12	0	6
feces__J423	28	452	115	18492	468	11044	3	67	46	25	5	5	1	23	7	0	0
feces__J424	99	104	856	19199	662	9412	3	13	54	3	2	135	0	4	17	0	0
feces__J425	461	526	508	12610	1049	12767	1	3	71	48	25	10	10	6	12	5	4
feces__J426	59	121	382	14413	239	13649	0	208	149	57	32	11	0	8	3	0	0
feces__J427	77	305	566	16328	461	11882	2	19	56	81	32	65	24	19	11	1	7
feces__J428	289	204	684	13443	874	11343	1	70	162	160	6	27	21	1	5	1	0
feces__J429	26	405	279	20193	443	6271	0	4	16	316	28	125	1	4	3	1	0
feces__J430	197	170	177	10030	976	9594	2	12	69	74	4	10	1	3	2	0	7
feces__J431	146	109	810	9877	60	9922	4	18	80	118	21	5	8	2	6	1	4
feces__J432	44	541	141	15648	584	11408	2	19	82	146	13	3	0	5	5	0	0
feces__J433	36	80	114	10982	71	19947	1	255	294	44	5	1	0	4	4	2	0
feces__J434	30	931	1412	19325	151	9458	0	4	58	48	3	25	2	16	15	2	1
feces__J435	81	569	514	16709	616	10636	1	10	50	23	9	127	2	0	6	2	5
feces__J436	85	317	309	13662	585	13122	1	3	62	30	34	99	3	3	1	0	1
feces__J437	182	122	720	12104	1052	9896	1	14	57	47	16	23	0	4	7	0	0
feces__J438	902	182	579	10901	1070	12472	1	6	55	56	3	20	4	4	2	0	0
feces__J439	52	337	332	13980	236	13290	2	16	124	14	0	161	6	16	3	0	0
feces__J440	50	130	255	14827	95	15540	1	135	277	36	5	2	2	2	3	0	0
feces__J441	252	276	893	13909	1107	11681	2	10	95	21	35	827	6	2	17	1	0
feces__J442	327	342	790	16515	680	11051	0	35	26	239	24	61	1	32	12	0	1
