Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcaceae	0	0	3	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	7	0	2	2	0	0	1	1	0	0	0	1	0	0	1
Anaeroplasmataceae	3	20	1	3	0	14	23	5	7	5	38	5	5	1	2	8	2	4	7	7	12	2	22	1	6	4	18	1	4	1	0	3	3	13	0	3	2	3	15	2	2	26
Bacillaceae 1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5
Bacillaceae 2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteroidaceae	1302	1534	938	1871	1720	2422	746	1396	1843	1409	636	1716	1465	1676	2217	950	1857	1479	1662	1659	1722	1712	1594	3748	1806	1652	3810	2133	3733	1350	1459	1660	1227	3047	4567	2777	1972	2056	2003	2002	2611	4915
Bdellovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacteriaceae	1	490	2	15	123	4	134	5	24	5	11	191	1498	78	433	0	2	624	1321	798	6	235	2	10	282	2	3	171	1	125	96	3	0	0	2	11	103	769	5	4	145	231
Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0
Burkholderiaceae	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
Burkholderiales_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Carnobacteriaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0
Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Clostridiaceae 1	50	1158	1	123	452	1172	509	14	348	20	97	719	788	734	2182	4	5	350	879	506	38	231	22	20	645	14	1274	941	29	631	748	109	27	20	60	2000	184	1999	45	2	390	686
Clostridiaceae 2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
