sample	Aerococcaceae	Anaeroplasmataceae	Bacillaceae 1	Bacteroidaceae	Bacteroidales_incertae_sedis	Bdellovibrionaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Carnobacteriaceae	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XIII	Coriobacteriaceae	Corynebacteriaceae	Cryomorphaceae	Cytophagaceae	Deferribacteraceae	Defluviitaleaceae	Desulfohalobiaceae	Desulfomicrobiaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Flavobacteriaceae	Gracilibacteraceae	Lachnospiraceae	Lactobacillaceae	Methylobacteriaceae	Micrococcaceae	Moraxellaceae	Neisseriaceae	Oxalobacteraceae	Peptococcaceae 1	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	Xanthomonadaceae
feces__J401	2	3	0	1521	1	0	1	0	0	7	71	0	0	9	11	46	0	1	0	84	4	0	7	169	106	17	10	0	1	6290	541	2	0	2	0	0	6	31	4813	3687	0	0	50	903	8868	0	0	0	5	49	9	5	9	6
feces__J402	0	21	0	1829	0	0	523	0	0	28	1454	8	0	3	16	57	3	7	1	41	1	0	24	67	6	290	18	1	0	3915	1784	0	1	1	0	0	4	478	4804	3329	0	0	286	1799	4608	0	1	0	0	417	16	2	19	0
feces__J403	3	4	1	1070	1	2	2	0	0	1	15	0	0	0	15	29	0	0	0	62	0	4	4	111	2	1	15	0	0	8338	186	6	4	1	2	0	7	44	2637	5056	0	1	43	205	8133	0	0	0	7	23	2	0	0	0
feces__J404	4	3	0	2132	0	0	16	0	0	9	179	1	0	1	30	20	0	0	5	467	2	4	49	176	141	98	16	0	1	7474	353	3	0	13	0	0	8	64	3180	2924	0	7	105	535	8226	0	2	1	1	114	2	1	4	0
feces__J405	1	0	1	2077	1	0	128	0	0	3	593	1	0	0	19	64	0	1	1	4	6	0	5	19	40	34	18	0	3	1226	212	11	0	0	0	0	2	112	6402	4249	0	4	145	1703	6868	0	2	0	0	575	4	0	8	0
feces__J406	2	17	0	2815	4	1	6	0	0	12	1500	4	2	4	15	51	0	1	2	17	0	2	4	52	283	84	6	3	0	4464	663	1	1	4	0	0	9	427	5762	4914	0	6	43	825	5708	1	0	0	2	32	8	6	5	9
feces__J407	0	31	0	848	0	2	141	0	0	0	665	4	0	4	20	74	0	0	2	243	0	1	10	258	1	143	15	0	1	6096	328	1	0	0	0	0	4	330	3522	6437	0	0	82	815	8750	0	0	0	0	108	6	0	0	0
feces__J408	0	9	0	1577	0	0	6	0	1	2	23	0	0	1	18	103	1	4	4	85	0	5	5	138	15	10	11	0	4	10303	390	0	25	0	0	0	11	21	3270	1755	0	0	37	820	9349	1	0	0	0	98	2	0	0	3
feces__J409	2	9	0	2125	4	0	25	0	0	2	444	6	0	1	8	64	2	0	0	5	7	0	1	7	64	97	13	0	0	3167	167	1	16	2	0	0	16	230	4801	9377	0	0	161	914	5925	0	0	0	2	357	2	0	5	26
feces__J410	0	6	0	1609	0	0	7	0	0	2	38	2	0	1	6	40	0	0	0	8	1	1	6	20	1	37	8	0	0	4371	424	0	0	0	0	0	53	250	3297	9931	0	0	38	188	5294	0	0	0	0	138	7	0	0	0
feces__J411	0	49	0	737	0	0	11	2	1	0	146	0	0	3	21	50	2	3	0	20	4	5	8	107	17	10	10	2	0	9573	337	9	1	0	0	0	29	80	2602	1068	4	0	55	511	8405	0	2	0	4	107	8	0	9	0
feces__J412	2	10	0	1991	1	1	200	0	0	10	900	1	0	0	28	63	0	4	0	18	5	0	21	108	81	48	15	1	4	3006	448	1	0	0	0	0	3	210	7018	3627	0	0	151	1310	5115	0	0	0	1	544	13	0	9	0
feces__J413	2	5	0	1695	2	1	1586	0	0	13	965	0	0	0	2	217	2	2	0	5	0	0	1	12	37	16	14	0	0	1570	1061	1	3	11	0	0	6	161	6147	4256	1	1	314	1122	3688	0	4	0	0	2712	5	7	0	2
feces__J414	0	1	0	1921	0	3	83	0	0	5	931	6	2	3	19	76	0	1	3	90	0	0	12	81	6	72	11	3	1	3646	157	1	0	0	0	1	13	419	4171	4890	0	2	137	968	5058	1	1	0	0	330	5	0	1	0
feces__J415	0	2	0	2479	1	0	454	0	0	13	2612	5	2	1	8	27	0	0	0	20	1	0	11	54	6	143	26	2	0	2217	790	1	9	1	0	0	7	394	4030	1376	0	1	229	1277	4799	0	0	0	5	333	4	0	4	1
feces__J416	0	8	1	1064	2	1	0	0	1	0	11	2	0	0	7	84	0	0	1	43	0	0	20	54	3	5	18	0	0	8408	319	0	0	0	0	0	22	131	3580	6237	2	1	79	104	5961	0	0	0	3	168	4	1	1	0
feces__J417	0	2	0	2026	1	0	2	0	0	0	8	0	0	2	13	58	0	1	4	13	1	2	1	12	10	20	25	0	1	2252	186	2	0	0	0	1	17	70	3659	13120	0	0	25	377	6915	0	2	0	1	312	6	3	0	0
feces__J418	0	6	0	1724	0	1	650	0	0	19	475	3	0	0	13	181	1	1	2	8	1	2	13	33	26	77	21	0	0	2876	610	0	0	0	0	0	0	317	6010	5037	0	1	68	1063	6046	1	0	0	0	544	7	0	1	0
feces__J419	0	9	0	1913	1	0	1369	2	0	19	1106	3	0	0	17	127	0	1	2	43	2	1	23	156	7	48	11	1	0	2818	1016	4	5	1	0	0	4	155	6871	1213	0	2	133	882	4885	0	5	0	2	983	5	0	10	1
feces__J420	2	10	0	1825	1	0	819	0	0	9	657	0	0	3	9	94	6	1	0	18	0	1	17	87	26	51	18	0	2	3351	1182	4	3	0	0	0	5	158	4472	3526	0	1	67	1038	5813	0	0	0	0	159	8	0	22	2
feces__J421	1	16	0	1946	1	4	6	0	0	8	64	2	0	0	8	177	2	0	3	23	2	2	6	127	24	175	2	0	9	4687	276	0	0	0	0	0	15	113	6115	7133	0	0	36	269	7794	1	0	0	0	60	5	0	0	0
feces__J422	0	2	0	1954	0	0	243	1	0	6	283	2	0	0	12	46	0	0	0	34	0	2	2	42	78	56	14	0	0	2405	378	1	1	1	0	0	38	245	6780	6042	0	2	149	548	4061	0	2	0	1	633	10	6	0	0
feces__J423	0	23	0	1865	2	1	2	0	0	0	37	1	0	2	13	26	0	0	1	67	1	0	5	30	4	25	6	0	11	2323	94	3	0	0	0	0	4	134	6854	8735	0	1	228	344	6888	0	1	1	1	463	7	0	1	0
feces__J424	0	4	0	4286	2	0	12	0	0	12	36	1	0	0	27	82	0	1	2	13	0	1	0	44	117	3	33	0	0	2456	733	0	4	7	0	0	8	173	7218	5446	0	1	52	1348	5165	0	0	3	0	649	9	0	0	5
feces__J425	0	6	0	2065	3	3	296	2	0	6	842	0	0	3	14	158	0	4	1	3	5	1	3	41	6	48	13	0	1	2748	424	10	5	2	1	1	10	393	5713	2791	2	2	357	1153	6781	3	1	0	1	1039	11	4	10	0
