Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Abiotrophia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetanaerobacterium	6	0	2	4	0	0	1	7	0	0	3	1	0	3	1	0	0	0	0	9	3	0	0	0	2	2	0	0	2	2	0	1	2	1	0	0	0	3	0	0	2	0
Acetitomaculum	6	0	3	5	0	0	6	1	0	0	6	0	0	0	0	4	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0
Acetivibrio	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Acinetobacter	2	0	1	11	0	2	0	0	2	0	0	0	9	0	1	0	0	0	1	0	0	1	0	4	2	1	4	4	0	2	0	0	1	3	16	5	0	0	0	0	19	5
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia	1	1	0	1	1	1	2	1	2	2	0	2	1	1	0	1	4	0	3	3	13	1	0	1	2	2	2	0	2	2	1	1	2	1	1	1	0	0	0	1	4	5
Aerococcus	0	0	2	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	2	2	0	0	1	1	0	0	0	0	0	0	1
Akkermansia	5	2	0	1	0	6	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	6	0	0	4	0	7	0	0	7	4	0	0	1	5	1	0	0	0	0	0	1
Alistipes	601	1233	134	369	1099	531	565	594	610	114	361	884	757	671	932	81	244	746	573	695	178	379	209	957	804	88	862	485	433	256	1063	591	245	1302	601	883	345	711	608	145	616	815
Allobaculum	0	0	0	0	0	0	2	0	0	0	0	2	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Alloiococcus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
