sample	Acetanaerobacterium	Acetitomaculum	Acetivibrio	Acinetobacter	Adlercreutzia	Aerococcus	Akkermansia	Alistipes	Allobaculum	Alloprevotella	Anaerobacter	Anaerofilum	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Arthrobacter	Asaccharobacter	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	Catonella	Cellulosibacter	Clostridium III	Clostridium IV	Clostridium XI	Clostridium XlVa	Clostridium XlVb	Clostridium sensu stricto	Coprococcus	Corynebacterium	Defluviitalea	Desulfomicrobium	Desulfovermiculus	Desulfovibrio	Dorea	Enterobacter	Enterorhabdus	Escherichia/Shigella	Ethanoligenens	Eubacterium	Faecalibacterium	Fastidiosipila	Flavonifractor	Fluviicola	Gemmiger	Gordonibacter	Gracilibacter	Hallella	Hespellia	Hydrogenoanaerobacterium	Insolitispirillum	Johnsonella	Lachnoanaerobaculum	Lachnobacterium	Lachnospira	Lachnospiracea_incertae_sedis	Lactobacillus	Lactococcus	Lactonifactor	Leclercia	Marvinbryantia	Meniscus	Methylobacterium	Moryella	Mucispirillum	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Paludibacter	Papillibacter	Parabacteroides	Paraeggerthella	Paralactobacillus	Paraprevotella	Parascardovia	Parasporobacterium	Parasutterella	Peptococcus	Phocaeicola	Prevotella	Propionibacterium	Pseudoflavonifractor	Pseudomonas	Rikenella	Robinsoniella	Roseburia	Rothia	Ruminococcus	Ruminococcus2	Saccharibacteria_genera_incertae_sedis	Saccharofermentans	Sarcina	Shuttleworthia	Sphingomonas	Sporacetigenium	Sporanaerobacter	Sporobacter	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	Syntrophococcus	Tannerella	Turicibacter	Vampirovibrio	Victivallis	Xylanibacter
feces__J401	23	118	7	2	7	0	5	797	0	0	5	0	0	3	13	4	55	11	0	16	1521	2561	1	29	16	140	112	2	0	2	0	459	22	299	50	37	9	0	4	7	0	85	47	49	0	17	5	10	16	0	1459	1	71	1	1	71	0	23	1	17	33	0	47	554	495	2	5	1	131	0	2	5	84	1	0	2	1167	0	41	184	1	10	1898	0	16	49	2	1	635	0	532	0	28	67	232	0	890	58	24	8	6	15	0	4	9	117	0	4	1	0	14	932	17	0	9	46
feces__J402	14	4	18	0	7	0	2	1563	0	0	96	0	3	21	21	36	155	16	0	9	1829	3136	392	16	15	38	45	3	1	0	4	513	326	410	136	990	9	3	1	24	0	25	24	3	4	3	14	15	8	0	413	5	12	1	0	91	1	24	5	14	42	0	0	269	1718	0	4	0	93	1	0	5	41	61	2	2	594	0	27	234	1	23	2220	1	9	417	2	0	71	0	331	0	40	29	39	1	456	21	8	16	115	2	1	77	3	32	0	0	0	0	3	350	284	0	19	36
feces__J403	31	41	4	1	0	2	0	184	0	0	0	4	0	4	13	36	273	15	0	4	1070	1335	0	25	29	343	42	10	1	0	1	345	32	693	17	1	16	0	0	4	0	7	45	0	0	1	0	15	7	0	1228	0	116	6	0	127	0	29	3	13	94	0	68	383	159	0	7	0	76	0	6	8	62	6	0	0	1516	0	69	60	4	6	1510	0	7	23	5	1	2658	0	503	1	2	22	148	4	543	43	0	1	0	12	0	7	0	96	0	0	6	0	12	373	1	2	0	27
feces__J404	23	32	4	12	2	4	1	462	0	0	14	3	6	3	25	5	315	30	0	6	2132	1697	12	29	11	148	83	11	0	0	0	399	48	683	98	100	28	0	2	49	1	75	35	20	1	81	7	10	8	2	729	0	49	0	1	77	1	29	4	21	134	1	10	302	336	0	30	0	61	4	3	5	467	0	0	3	2428	0	31	172	0	1	1193	0	10	114	4	0	992	0	477	4	16	29	393	0	666	43	11	13	10	14	2	8	1	65	1	0	1	0	45	438	97	0	4	24
feces__J405	18	1	8	0	7	1	0	1456	0	0	48	0	0	0	7	1	58	19	0	14	2077	4100	97	1	46	28	22	1	0	0	0	178	71	62	17	392	0	0	6	5	0	10	7	7	1	25	1	18	3	1	385	0	2	6	0	176	0	14	1	1	29	0	1	49	208	0	5	0	5	0	11	5	4	12	6	0	494	0	55	183	0	0	1836	1	2	575	2	1	118	0	218	4	55	8	16	0	524	30	14	4	51	1	0	17	0	180	0	0	0	0	1	709	34	0	8	110
feces__J406	19	34	6	4	6	2	6	727	0	1	72	0	0	17	56	22	207	15	0	19	2815	3078	4	14	21	123	113	1	3	1	0	180	294	387	26	1012	23	0	0	4	0	4	19	161	3	21	3	5	7	0	688	0	13	3	0	159	0	47	0	41	47	0	37	457	622	0	2	2	29	1	1	1	17	0	0	0	1216	0	38	260	2	4	2859	0	3	23	6	4	376	0	322	4	16	19	57	0	581	54	26	2	136	9	0	71	4	49	0	9	2	9	6	749	84	1	5	80
feces__J407	63	26	0	0	7	0	0	729	2	0	38	0	0	31	6	10	287	20	0	12	848	2181	112	46	8	226	50	5	4	2	0	354	230	312	65	411	2	0	0	10	0	60	16	0	2	1	0	14	2	1	891	0	96	5	0	216	0	71	8	17	67	0	59	878	294	0	4	0	56	2	1	2	243	0	0	14	1310	0	34	64	0	4	1971	0	4	108	3	0	2746	0	788	0	22	83	101	0	1067	18	11	0	50	10	0	51	4	68	0	0	0	0	19	408	139	2	0	71
feces__J408	41	70	2	0	9	0	0	752	0	1	0	2	0	9	3	38	161	18	3	45	1577	1936	4	18	27	245	17	13	0	9	0	346	17	842	65	12	11	1	0	5	0	71	77	2	2	10	2	11	10	0	1715	3	115	0	4	92	3	9	2	45	72	0	51	547	375	0	42	0	95	4	0	5	85	0	0	7	2175	0	43	141	0	2	470	0	51	98	3	0	348	0	997	0	24	35	284	20	552	82	49	4	0	12	0	0	1	66	0	3	0	0	12	441	10	0	0	32
feces__J409	17	2	1	2	3	2	0	820	0	0	26	1	0	9	7	95	91	8	7	7	2125	2861	19	0	37	52	21	1	4	1	0	276	171	319	9	300	3	2	7	1	0	6	8	11	8	30	0	13	10	0	406	0	15	0	0	298	0	6	4	11	45	0	19	140	158	0	2	1	55	0	1	2	5	1	0	1	448	0	34	205	0	1	966	0	4	330	16	4	5774	0	329	0	7	8	3	1	477	6	8	2	22	3	0	24	1	154	0	25	2	27	3	525	93	0	5	136
feces__J410	13	13	4	0	7	0	0	166	0	3	0	0	0	6	10	19	81	6	0	11	1609	1732	5	5	24	69	37	1	23	0	0	143	181	771	15	19	3	0	1	6	0	11	23	0	3	1	0	6	36	0	508	0	50	0	0	226	1	4	4	6	34	2	24	181	394	0	10	0	26	0	0	3	8	0	0	4	814	0	13	109	0	4	1652	0	4	138	50	0	6039	0	444	0	3	13	80	0	1146	49	22	4	1	11	0	41	1	72	0	0	0	0	2	521	36	0	0	96
