Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Actinomycetales	0	4	4	0	0	1	0	25	20	0	9	0	7	0	9	2	0	2	5	11	2	1	0	4	7	5	11	14	0	4	4	1	0	6	10	13	3	7	4	0	8	20
Anaeroplasmatales	3	20	1	3	0	14	23	5	7	5	38	5	5	1	2	8	2	4	7	7	12	2	22	1	6	4	18	1	4	1	0	3	3	13	0	3	2	3	15	2	2	26
Bacillales	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	0	2	0	0	0	1	0	0	0	0	3	0	2	0	1	8	0	17
Bacteroidales	10376	11498	8642	8434	14170	13973	11178	6941	16933	14741	4507	13681	12931	11628	8813	10439	18836	13622	10386	10415	14985	14971	17570	18186	11462	13579	15133	12520	19465	9404	9154	14861	10181	18339	15868	12644	11344	9946	13285	13946	12677	15609
Bdellovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacteriales	1	490	2	15	123	4	134	5	24	5	11	191	1498	78	433	0	2	624	1321	798	6	235	2	10	282	2	3	171	1	125	96	3	0	0	2	11	103	769	5	4	145	231
Burkholderiales	47	381	16	105	521	29	96	91	316	123	102	499	2502	297	293	164	299	504	902	147	44	581	438	615	980	226	415	793	386	893	50	521	63	123	568	534	973	1000	217	81	1010	606
Campylobacterales	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0
Clostridiales	15339	10591	16641	15901	8940	12736	15986	19792	9904	10231	19210	9416	6379	11148	10192	14787	9644	10185	8987	10072	12733	7203	9784	7867	11063	12299	10131	10172	5277	8703	8849	10049	18815	7763	9211	12007	8166	11442	11696	14530	10376	9228
Coriobacteriales	42	46	24	16	55	49	63	89	62	33	45	62	196	65	24	76	54	147	111	84	165	41	24	76	127	49	57	81	22	57	31	34	36	20	61	49	65	84	37	42	79	56
Deferribacterales	79	34	57	449	4	16	236	83	4	7	18	16	5	86	19	41	11	5	39	14	21	32	64	10	3	198	19	69	4	8	18	15	239	4	8	3	12	6	16	130	10	35
Deinococcales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrionales	170	108	120	273	26	69	247	144	10	28	117	125	16	101	59	84	20	59	180	106	127	51	38	45	56	128	47	135	11	58	67	59	253	43	35	51	45	51	112	247	70	20
Enterobacteriales	95	6	1	131	37	267	1	14	59	1	16	77	32	6	5	3	10	23	6	23	18	75	2	98	6	7	48	9	112	3	3	2	0	16	80	65	19	4	139	0	728	36
Erysipelotrichales	15	213	0	76	34	66	114	10	77	31	9	41	13	52	112	4	17	63	35	35	149	47	19	0	37	44	59	116	255	58	100	118	39	33	20	27	35	41	12	24	11	200
Flavobacteriales	8	19	0	1	2	12	4	4	1	1	28	12	7	8	10	1	9	1	9	8	2	1	2	1	4	6	14	3	10	4	10	6	3	0	3	18	8	2	0	0	15	11
Lactobacillales	586	1842	191	362	218	685	321	396	181	429	342	458	1101	166	811	327	197	630	1050	1226	281	393	97	740	426	324	497	570	237	139	681	114	91	1231	436	247	601	482	253	201	764	652
Myxococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
Neisseriales	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Pasteurellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pseudomonadales	2	1	2	17	4	7	0	0	2	0	0	0	12	2	2	1	0	0	3	1	0	3	1	8	4	1	9	4	0	4	1	1	1	4	37	15	0	16	2	2	26	16
Rhizobiales	18	0	31	7	11	2	16	21	6	9	18	5	5	2	1	9	6	0	12	4	7	2	3	5	17	16	13	8	2	3	8	9	7	3	8	7	15	27	8	31	54	17
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	0	0	0	6	0
Rhodocyclales	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodospirillales	8	3	3	14	18	0	2	0	19	0	7	8	6	10	14	8	3	0	11	2	0	0	39	0	7	3	0	0	4	3	2	5	3	0	0	0	0	0	0	0	30	4
Selenomonadales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriales	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0
Sphingomonadales	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	2	0	5	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	14	5	12	12	16	6	9	13
Verrucomicrobiales	5	2	0	1	0	6	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	6	0	0	4	0	7	0	0	7	4	0	0	1	5	1	0	0	0	0	0	1
Victivallales	7	19	0	3	7	3	0	0	4	0	9	8	0	1	4	1	0	1	8	11	0	0	1	0	10	0	24	18	1	1	6	0	0	2	2	3	0	3	6	2	4	0
Xanthomonadales	4	0	0	0	0	8	0	3	24	0	0	0	1	0	1	0	0	0	0	2	0	0	0	5	0	0	4	9	0	2	0	0	0	1	0	11	0	0	0	0	0	0
