sample	Actinomycetales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Lactobacillales	Pseudomonadales	Rhizobiales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Verrucomicrobiales	Victivallales	Xanthomonadales
feces__J401	0	3	0	11513	0	1	56	16826	46	0	84	205	106	17	9	722	2	2	85	12	0	0	5	9	6
feces__J402	4	21	0	12460	0	523	418	11995	57	1	41	119	6	290	41	2162	1	0	343	19	0	1	2	19	0
feces__J403	4	4	1	9374	2	2	24	17970	29	3	62	142	2	1	0	257	2	6	52	3	0	0	0	0	0
feces__J404	0	3	1	9327	0	16	115	17514	20	5	467	307	141	98	2	451	20	3	142	5	0	2	1	4	0
feces__J405	0	0	1	15415	0	128	576	10581	64	2	4	32	40	34	13	261	4	11	186	10	0	2	0	8	0
feces__J406	1	17	0	15194	1	6	35	14164	51	2	17	79	283	84	22	865	10	1	53	11	1	0	6	5	9
feces__J407	0	31	0	12149	2	141	108	17309	74	2	243	294	1	143	10	396	0	1	95	7	0	0	0	0	0
feces__J408	26	9	0	7941	0	6	99	21144	103	6	85	163	15	10	19	489	0	0	41	2	1	0	0	0	3
feces__J409	21	9	0	17979	0	25	358	11295	64	0	5	11	64	97	1	223	2	1	206	4	0	0	0	5	26
feces__J410	0	6	0	15480	0	7	139	11349	40	0	8	32	1	37	2	506	0	0	43	7	0	0	0	0	0
feces__J411	9	49	1	5180	0	11	110	20608	50	0	20	143	17	10	61	427	0	12	77	10	0	2	0	9	0
feces__J412	0	10	0	14689	1	200	545	10839	63	0	18	148	81	48	35	585	0	1	198	15	0	0	0	9	0
feces__J413	8	5	0	13872	1	1586	2715	7457	217	0	5	23	37	16	16	1263	12	1	367	5	0	4	7	0	2
feces__J414	0	1	0	12519	3	83	334	13072	76	5	90	115	6	72	24	203	2	2	214	6	1	1	0	1	0
feces__J415	9	2	1	9783	0	454	333	11500	27	2	20	72	6	143	28	946	2	1	386	6	0	0	0	4	1
feces__J416	2	8	1	11255	2	0	187	16030	84	2	43	97	3	5	3	392	1	0	121	5	0	0	1	1	0
feces__J417	0	2	0	19608	0	2	318	12370	58	5	13	20	10	20	32	221	0	2	36	10	0	2	3	0	0
feces__J418	2	6	2	14545	1	650	544	11760	181	2	8	67	26	77	13	756	1	0	85	10	1	0	0	1	0
feces__J419	6	9	0	11543	0	1369	984	10241	127	2	43	217	7	48	27	1238	3	6	162	8	0	5	0	10	1
feces__J420	13	10	0	11374	0	819	159	11276	94	1	18	125	26	51	28	1444	1	4	98	9	0	0	0	22	2
feces__J421	2	16	0	16024	4	6	60	13919	177	3	23	148	24	175	5	343	0	0	48	9	1	0	0	0	0
feces__J422	1	2	1	15807	0	243	634	9017	46	0	34	59	78	56	7	455	3	3	164	12	0	2	6	0	0
feces__J423	0	23	1	18492	1	2	466	11017	26	3	67	43	4	25	5	113	1	3	300	7	0	1	0	1	0
feces__J424	4	4	5	19199	0	12	658	9387	82	3	13	51	117	3	2	842	8	0	56	17	0	0	0	0	5
feces__J425	7	6	0	12610	3	296	1045	12747	158	1	3	63	6	48	25	497	4	12	432	12	5	1	4	10	0
feces__J426	5	8	2	14413	0	2	238	13623	51	0	208	148	9	57	32	378	2	5	70	3	0	0	0	0	0
feces__J427	12	19	0	16328	0	3	458	11866	62	2	19	55	51	81	32	557	10	10	222	11	1	0	7	24	4
feces__J428	14	1	0	13443	0	186	874	11330	88	1	70	157	11	160	6	674	4	3	139	5	1	0	0	21	10
feces__J429	0	4	0	20193	2	1	420	6251	25	0	4	14	124	316	28	271	0	1	339	3	1	1	0	1	0
feces__J430	4	3	2	10030	0	129	972	9568	64	2	12	66	3	74	4	174	5	3	125	2	0	0	7	1	2
feces__J431	4	2	0	9877	0	103	60	9898	38	4	18	79	3	118	21	801	1	4	77	6	1	0	4	8	0
feces__J432	1	5	0	15648	2	3	568	11383	40	2	19	74	2	146	13	138	1	5	457	5	0	0	0	0	0
feces__J433	0	4	0	10982	0	0	71	19899	36	1	255	290	0	44	5	112	1	3	73	4	2	0	0	0	0
feces__J434	6	16	0	19325	3	0	145	9437	24	0	4	52	20	48	3	1390	4	3	596	15	2	1	1	2	1
feces__J435	10	0	5	16709	2	2	609	10608	69	1	10	47	87	23	9	502	37	8	333	6	2	14	5	2	0
feces__J436	16	3	0	13662	0	11	582	13096	58	1	3	61	69	30	34	308	18	3	247	1	0	5	1	3	11
feces__J437	3	4	2	12104	0	105	1052	9868	73	1	14	55	21	47	16	704	0	7	45	7	0	12	0	0	0
feces__J438	7	4	0	10901	0	795	1066	12442	100	1	6	54	4	56	3	574	16	25	111	2	0	12	0	4	0
feces__J439	4	16	1	13980	0	6	230	13264	42	2	16	124	156	14	0	323	2	8	242	3	0	16	0	6	0
feces__J440	1	2	8	14827	0	4	90	15508	45	1	135	275	0	36	5	244	2	29	73	3	0	6	0	2	0
feces__J441	9	2	1	13909	0	155	1105	11658	88	2	10	94	791	21	35	869	27	54	151	17	1	9	0	6	0
feces__J442	20	32	17	16515	0	239	664	11025	68	0	35	23	38	239	24	761	22	15	239	12	0	13	1	1	0
