Sample ID	feces__J401	feces__J402	feces__J403	feces__J404	feces__J405	feces__J406	feces__J407	feces__J408	feces__J409	feces__J410	feces__J411	feces__J412	feces__J413	feces__J414	feces__J415	feces__J416	feces__J417	feces__J418	feces__J419	feces__J420	feces__J421	feces__J422	feces__J423	feces__J424	feces__J425	feces__J426	feces__J427	feces__J428	feces__J429	feces__J430	feces__J431	feces__J432	feces__J433	feces__J434	feces__J435	feces__J436	feces__J437	feces__J438	feces__J439	feces__J440	feces__J441	feces__J442
Actinobacteria	43	544	33	31	179	54	198	119	106	38	66	254	1711	145	468	78	57	778	1447	897	175	277	26	91	420	56	71	272	23	187	133	38	36	26	73	75	171	863	46	46	234	309
Bacteroidetes	11136	12117	8987	8979	15080	14817	11723	7693	17588	15160	4993	14345	13561	12220	9586	10947	19365	14236	11312	11100	15753	15522	18140	18940	12444	14143	16081	13131	19992	9762	9644	15305	10617	19013	16507	13349	11848	10703	13664	14490	13542	16183
Deferribacteres	79	34	57	449	4	16	236	83	4	7	18	16	5	86	19	41	11	5	39	14	21	32	64	10	3	198	19	69	4	8	18	15	239	4	8	3	12	6	16	130	10	35
Deinococcus-Thermus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	16956	13836	17529	17266	10365	14483	17275	20980	10989	11416	20516	10853	8336	12920	12136	15927	12457	12194	10868	12284	13871	8899	10749	9727	12821	13404	12068	11666	6404	9346	10403	11009	19446	10222	10596	12901	10156	12650	13061	15281	12003	11455
Lentisphaerae	7	19	0	3	7	3	0	0	4	0	9	8	0	1	4	1	0	1	8	11	0	0	1	0	10	0	24	18	1	1	6	0	0	2	2	3	0	3	6	2	4	0
Proteobacteria	460	900	236	714	810	476	486	333	650	207	363	971	2966	660	769	474	402	693	1318	416	264	897	834	889	1509	482	779	1129	872	1102	227	1091	409	1035	1144	948	1152	1229	772	462	2136	993
TM7	24	8	0	11	14	25	11	46	7	21	17	18	29	241	7	120	15	13	38	12	37	44	5	27	8	14	5	20	0	3	20	4	9	8	6	4	14	18	37	17	25	27
Tenericutes	3	20	1	3	0	14	23	5	7	5	38	5	5	1	2	8	2	4	7	7	12	2	22	1	6	4	18	1	4	1	0	3	3	13	0	3	2	3	15	2	2	26
Verrucomicrobia	5	2	0	1	0	6	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	6	0	0	4	0	7	0	0	7	4	0	0	1	5	1	0	0	0	0	0	1
