sample	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Deferribacteres	Firmicutes	Lentisphaerae	Proteobacteria	Tenericutes	Verrucomicrobia
feces__J401	47	11672	24	84	17808	9	523	3	5
feces__J402	584	12685	8	41	14798	19	1058	21	2
feces__J403	35	9505	0	62	18356	0	254	4	0
feces__J404	36	9480	11	467	18280	5	819	3	1
feces__J405	194	15665	14	4	11125	8	928	0	0
feces__J406	58	15413	26	17	15362	5	549	17	6
feces__J407	216	12296	11	243	18068	0	539	31	0
feces__J408	135	8127	49	85	21821	0	340	9	0
feces__J409	111	18117	8	5	11806	5	770	9	0
feces__J410	47	15606	22	8	12084	0	226	6	0
feces__J411	71	5372	18	20	21228	9	393	50	0
feces__J412	263	14909	18	18	11719	9	1110	10	0
feces__J413	1820	14109	34	5	8985	0	3249	5	7
feces__J414	160	12720	258	90	13612	1	799	1	0
feces__J415	491	10003	9	20	12887	4	918	2	0
feces__J416	86	11338	128	43	16608	1	559	8	1
feces__J417	60	19778	15	13	13067	0	454	2	3
feces__J418	837	14775	15	8	12926	1	755	6	0
feces__J419	1502	11787	41	43	11765	10	1489	9	0
feces__J420	926	11567	13	18	13056	22	493	10	0
feces__J421	185	16186	37	23	14585	0	319	16	0
feces__J422	291	15962	45	34	9779	0	1009	2	6
feces__J423	28	18668	5	67	11450	1	985	23	0
feces__J424	99	19388	28	13	10488	0	959	4	0
feces__J425	462	12909	8	3	13617	10	1667	6	4
feces__J426	59	14611	16	208	14217	0	522	8	0
feces__J427	77	16568	7	19	12791	24	892	19	8
feces__J428	289	13582	23	70	12357	21	1273	1	0
feces__J429	26	20352	0	4	7021	1	1000	4	0
feces__J430	197	10137	3	12	9952	1	1232	3	7
feces__J431	146	10008	21	18	11033	8	268	2	4
feces__J432	44	15797	4	19	11873	0	1232	5	0
feces__J433	36	11112	11	255	20222	0	459	4	0
feces__J434	30	19504	9	4	11134	2	1168	16	1
feces__J435	81	16850	10	10	11385	2	1371	0	5
feces__J436	85	13859	4	3	13578	3	1072	3	1
feces__J437	182	12249	14	14	10914	0	1258	4	0
feces__J438	902	11110	18	6	13274	4	1334	4	0
feces__J439	52	14069	39	16	13796	6	868	16	0
feces__J440	50	14941	17	135	15918	2	517	2	0
feces__J441	252	14130	30	10	12797	6	2319	2	0
feces__J442	327	16712	28	35	12369	1	1120	32	1
