"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"
"feces__J401"	-0.141885011824811	-0.0601409897455784	0.323835617886836	-0.227639821606161	0.0867294095258452	0.150473172077209	0.014866929510787	-0.0800499674752105	-0.180652758533141	-0.024030176137003	0.088357921420981	0.0953459527960466	-0.0569528991664684	-0.328919669029239	-0.00815283345376482	0.140867823479231	0.13946836471897	0.21127935310708	0.123032541263101	0.0577934978969298	-0.0698220398752525	0.0477267821328545	-0.1223887073182	0.148083207179036
"feces__J402"	0.165102367495346	-0.143776437076889	-0.207735594623666	-0.192227938846118	-0.116572067865375	-0.0697820355315534	0.243465682015945	-0.168512230741298	0.0707438112587903	0.0539729691144284	0.0594926822689304	0.0629121893337004	0.00217516518871045	0.0890824750464436	-0.0421340131771796	0.00791446651000584	-0.0519685982106796	-0.169257800725677	0.181847734901709	0.0174732536875256	-0.00470519113195985	-0.110522380891591	-0.398320765524837	0.216783338880636
"feces__J403"	-0.376375110699342	-0.175398192249618	0.159937816024822	0.291907524186806	-0.0293023542896326	0.0402498327567677	0.1891395346925	-0.215284696218672	0.342891543918474	-0.156377708772284	0.155131289619438	-0.0310493509579755	0.029392327982973	-0.00410141424432414	-0.155645804682404	-0.0375105650420662	0.148004807052771	-0.032471128715212	-0.0129872893502525	0.0775733409965543	0.0223907848439475	0.0219291122958332	0.115630758335693	0.0178815497225656
"feces__J404"	-0.0688902780310465	-0.140429215312136	0.222203018661129	-0.200652077880533	0.269277170341045	0.127783379481537	-0.16567087634448	0.104565004108109	-0.0307546074279001	0.0246761329313423	0.0437810740569169	-0.145266133210393	-0.035649625404945	0.34285697265507	-0.237423530410822	-0.0408847878727997	0.155323370604579	-0.0772671786084779	-0.149569795794436	-0.0299856322491615	0.16294096369322	-0.307456700457223	0.129261883297308	-0.109730470776248
"feces__J405"	0.153610172415354	0.0637629998100949	0.137011203210071	0.201525699146218	0.0897972344138356	0.112517999133272	0.0541738597818818	0.209866087371864	0.0247530172304397	-0.180634381183262	0.0257159000957839	0.0075578166553857	0.492234796335759	-0.143242314252536	-0.106779037468809	-0.00636543761021529	-0.137545840556686	-0.0440147146701676	0.0800208888356299	0.114725696065796	-0.0232096052847566	-0.0334927459792423	-0.126485214827175	0.0518689166760354
"feces__J406"	0.0431841875821116	0.0739772696093897	0.0252911361821532	-0.297345558172443	0.160893484731352	-0.143798096596774	-0.0533105049278448	-0.155859310034823	0.314602667173835	-0.1403481299736	0.114786256216907	0.0778990798453017	-0.263694810257222	-0.277469229020505	0.0741505148168039	-0.0465441057826015	0.294315481589023	0.0201268839038982	-0.249365962495459	0.101785834895285	0.0812615830769064	0.189517313998346	-0.143973443443438	-0.194150890387761
"feces__J407"	0.00245375519471716	-0.333264919558742	-0.176277080959415	-0.168300479069302	0.0529611637765943	0.0387134089106131	-0.0592941579626567	0.194360606842763	0.219190332294939	0.116267341966613	-0.049237258148016	-0.113963094108815	0.141970969832316	-0.206892453374779	-0.201218825564258	0.0873057194594094	0.0179817547549894	0.0040979202804303	-0.0989560059684936	0.106988882577717	-0.106178549793031	0.0887775346136674	0.0527441783705121	0.132837158320562
"feces__J408"	-0.170941922960612	-0.15781951026922	0.248837937561699	-0.219636025194046	-0.343071887886673	0.154681265315977	-0.0370514039415054	-0.0357813529435775	-0.0741144112124009	-0.039324116192372	-0.257346049985905	0.10069478094336	0.0965564485736917	0.0778799879474116	0.211742591315035	0.258721025562332	-0.0442771674915845	-0.125394489229775	-0.0173089239164126	0.0810770111783684	0.127966328528192	-0.0456824221703086	-0.0365318684165853	-0.0673667109950805
"feces__J409"	0.0537678984633456	0.178757299533626	-0.105449807947829	-0.0856494463655041	0.0482774262391245	0.102740641761253	-0.254226310526822	0.259275029849611	0.156074399908833	-0.0616745049919568	-0.0174827885523545	0.0485036725696295	-0.0220602618638996	-0.0256688408694277	-0.12934687382527	-0.105146622895929	-0.209073294095425	-0.162057021788303	-0.158267188735401	-0.0716244615152719	-0.109291297153112	-0.126536537162415	-0.13632804082339	-0.318829817865144
"feces__J410"	-0.16181876101427	0.147098914320587	-0.306205100189799	-0.0221229341767058	-0.139207159418054	-0.0947320413793248	-0.206362960998848	-0.0433437211216234	0.092481257275437	-0.118487828580817	-0.276419084768604	-0.256761245247314	0.115675001393339	-0.0615093215150411	-0.0154922658659395	0.138542978677578	0.339448347826045	-0.122876305972964	0.108640262929929	-0.069655612856712	0.234889089610715	0.0824459308807854	0.0842872079336491	-0.00414655591401034
"feces__J411"	-0.0794304531317946	-0.128034776274003	0.260642866309349	-0.0885712346539912	-0.112043557593659	-0.344413697731592	-0.00198378051202273	0.330741923095472	0.196123057187217	-0.0721278383399456	-0.0235250126096546	-0.133124728251703	-0.0951856432709771	0.204401846136337	-0.0193009210784557	0.242644665223967	-0.275705820149143	0.0997662907750587	0.0954546546728649	-0.181851573237053	0.0732809404039376	-0.00480177849879714	0.0515428594127642	0.0416131135474125
"feces__J412"	0.156880491941567	-0.0263969141633745	0.0920623716324061	-0.135241711342288	0.0118257448400519	0.14075817330604	-0.0342355931157872	-0.0638815774976298	-0.0330884835850306	0.0801663142753027	-0.211326903773394	-0.0679480731048489	0.0339455023601944	-0.118400514723756	-0.0282129000975467	-0.192265952259254	-0.135001816829362	0.0485973018254974	0.328433685177243	-0.0239897493284945	0.12867495632721	0.290519398438904	-0.0482278035937123	0.00877420293350868
"feces__J413"	0.228978321921225	0.133821748100918	-0.00168747141271677	0.0461164658577301	-0.323866666184937	0.0687656578498523	-0.140152739172879	0.0823674157794242	-0.0891588383553311	-0.033611280740455	0.331207126605466	0.00772963401338413	-0.234005061966197	-0.26436936069949	-0.0942819562970554	0.0605494311387639	-0.0123537044437317	-0.00198167758871563	-0.0195718652161798	-0.0577413935408627	0.289845707612613	-0.120581078814457	0.223378651943194	0.213353857134216
"feces__J414"	0.0513409692375535	-0.119720867832559	-0.142794023230535	0.0814810668680447	0.0864438559567457	0.161160934916872	-0.0988299690213284	-0.110848200639391	0.0334388397199524	0.123580548181273	-0.0515336206221666	0.328392348983719	-0.0391353977246278	-0.0106547419538961	-0.0961031952178228	-0.0328414399989533	-0.306992763515725	-0.151162371745498	-0.122139198414118	0.263968307404172	-0.113347876686273	0.104901289651702	0.223534265073895	-0.0356393283785634
"feces__J415"	0.166754256663528	-0.137422946354668	-0.109732926373397	-0.0423700395494472	0.0527804948297214	0.0434409267257979	0.130545889428784	-0.222797476084983	-0.137054754770866	-0.184924647105692	0.0581477727317165	0.0377877760567386	-0.15991419859256	0.235451789173751	-0.0256183079070327	0.370559512489159	-0.0187914810703525	-0.254953687388982	0.10611848233093	-0.0520225124860729	-0.200778373434727	0.22586170736815	0.277892465049116	-0.0850182542454874
"feces__J416"	-0.267536737064397	0.0553168003392654	-0.142927700023592	-0.0230415488807179	-0.359105423048462	-0.13879159124324	-0.0197739293279608	-0.104550009940243	0.117414389936952	0.328426441550858	-0.0574645616422232	0.0760235446653148	-0.0678685550844776	-0.0198844882951629	-0.245081108054584	-0.0218603216389249	-0.169694791861346	0.180363049046675	-0.04189824370322	0.0226294375006553	-0.135768130283174	-0.178561375363232	-0.205158440800355	-0.0302414239289443
"feces__J417"	-0.190952583470676	0.252935127382648	-0.0523212518696668	0.227061683456511	-0.148429408344008	0.211315450816792	-0.0965464350483441	0.20624774067852	0.0301348457093878	-0.166827810171747	0.233441664005905	0.311929086030895	-0.143344858897775	0.0126532836710144	0.0340026045523482	0.218390730711017	-0.0177014990386098	-0.129553317040183	0.100824413920525	-0.12052187857216	0.00817851830270228	0.0772512272944707	-0.118818385330877	-0.0655617435834672
"feces__J418"	0.197116756062914	0.074691958366121	-0.0898519083180126	-0.113554336950368	-0.234636544626081	0.229823637498613	-0.12209101909689	0.0260194359924766	0.0777549432054645	-0.103278417273268	-0.134004692732648	-0.0640900856077273	0.197900878263463	0.0403821631052604	0.133943972240739	0.0697540492288358	0.195492377860047	0.161018956129991	-0.0102345581203496	0.107294211881834	-0.335877299867417	-0.0485065515171385	-0.032786024334411	-0.115852347334173
"feces__J419"	0.164510329041398	-0.216551861685063	0.019232513943347	0.0204937304690184	-0.215834540189664	-0.00690380981743188	0.118961591059337	0.0631100492260371	-0.303687468124987	0.0804746952671323	-0.0276615423691088	-0.008050646572777	-0.157081856460086	-0.0891905008450016	0.119290665505875	-0.167538094091259	0.0155150396085499	0.0444042040077069	-0.0235827335552157	-0.129502973940111	0.139043811263936	-0.00544252971627051	0.0810585281753515	-0.380942659013416
"feces__J420"	0.117361029644351	-0.097659238966409	0.0577222072280579	-0.0266023746870656	-0.134864454584879	-0.182045211457033	-0.0650982062235897	0.0178631713412981	-0.0850828300201059	-0.123166476609831	0.161240309831539	0.0571231891323169	0.0417711971276523	-0.0716524165609712	-0.136854767568109	-0.262692791335029	0.212371819002964	-0.0690660736242929	0.164946968349049	0.194766174413243	-0.316147096688449	-0.293503843631862	0.307782039762448	-0.0364625455183228
"feces__J421"	-0.122942363791126	-0.00225535693032083	-0.0889858281445862	-0.226391436389756	-0.08076447573341	-0.0540919858919383	-0.179511011882809	-0.0369462811891063	0.0887394719833496	-0.066954865422635	0.210568289360591	0.0435742076089932	0.18501978274836	0.137586274372584	0.539376832806925	-0.329523105632254	-0.147922261047576	0.0793821572031001	-0.0344914139762867	-0.169681361571339	-0.0727275119674866	0.0911354881400314	0.173744718173623	0.136161200006226
"feces__J422"	0.086577460221334	0.0708050476181925	-0.0577798580997649	0.0119194436805773	0.0980823239706141	0.0696876474637517	-0.155671136208464	-0.0620852488811796	-0.0950519285054164	0.434492597625691	0.0566910051473178	-0.1625740492641	0.0706532952522936	0.008779556344626	-0.187306218262117	0.0270174720320325	0.142144321926189	-0.0581830296076236	0.247577989941744	-0.264593756230301	0.0319573640790701	0.121619500028713	0.0147695405249963	-0.14186726068351
"feces__J423"	-0.159062789583541	0.0447410633682162	-0.122559732399874	0.0323299585941515	-0.0751614683326545	0.148319923308075	0.568546803897933	0.272571641829086	-0.0439023945940539	0.0855623146807424	0.0308892119836607	-0.148274384323183	-0.0201141093457107	-0.176750729289973	0.0556436015169771	-0.0879883825663999	0.0693294575498222	-0.0995799405802702	-0.0198190376728713	-0.0192112700888671	-0.0575048296906746	0.111228814170573	0.0651124596677569	-0.0635465815942968
"feces__J424"	-0.0112433210671158	0.260000752777025	0.244261508466565	0.0838474711021686	-0.171897425626165	0.0964430855800538	0.0598487662172943	-0.492411460447521	0.115167608459088	0.123023307826133	-0.0659022710202527	-0.174091155230571	0.116595511673335	0.0804696280808643	-0.0822064907894262	-0.113158697996222	-0.153531117218195	-0.108912010685431	-0.161957103228003	-0.0794699287837912	-0.00829141538413458	0.00175887324235231	0.163064524199054	0.00298675493589503
"feces__J425"	0.158396571440965	-0.0219171315690707	-0.0699933798356781	0.156477559844252	-0.0733214393989499	-0.14487097831142	-0.00465930387043053	0.0967075540459633	-0.026541803517388	-0.0639005534880634	-0.114040823212392	-0.0932678769788629	0.0244846131225714	0.117808769427984	0.0432798243748642	-0.0480013164210161	-0.0864003480595357	0.138464263472676	-0.214288290766213	0.465138660433448	0.332829458070997	0.27768322102238	0.0807125333813822	0.0334779664867581
"feces__J426"	-0.191142777108385	-0.0536321862169839	-0.0574767218080064	0.0441313588675725	0.0142675501691912	0.0728251247964573	0.00509286210607594	0.0847644037682917	-0.181641574654021	0.0552343488240082	-0.0774439597073138	0.372329392608868	-0.0127525437457929	0.375656874192255	-0.0737345146419858	-0.212128141374879	0.275402502659427	0.0811251747968267	0.120787888173715	0.20113168415069	0.175044128145983	0.0518115426476283	-0.172941098214816	-0.0575867061318514
"feces__J427"	0.0508734740571794	0.126030320736715	-0.0524577603294453	-0.0773672997161221	0.145316118717563	-0.267796088808873	0.172778363515143	-0.0026912923163939	0.0952482478931579	0.0801555695110052	-0.162305488061941	0.327286541347226	-0.11655779492573	-0.00542220888730172	-0.0899278639412282	-0.055077659995852	-0.0682610962396584	0.132730202789291	-0.0751398573196733	-0.21794113108279	-0.02810030156184	0.115258494292885	0.135497298799573	-0.0652642598598772
"feces__J428"	0.105349042800794	-0.183505863666532	0.0199568180148005	0.0685593475996257	0.0348658966553279	0.199772175824515	0.0669113377669517	-0.103972652515414	-0.0775232750163193	0.0998615538243963	0.0805262987695948	0.0870331126051241	0.0806704526997634	-0.0174483896404909	0.154810703244134	-0.0631860610723117	0.0533170902584444	0.108476308275224	-0.333999405262193	-0.220378668661249	0.142770269673726	-0.219778459220657	-0.118359389788013	0.145297952621126
"feces__J429"	-0.022358131088948	0.398201650844338	-0.147077704174108	-0.186010468898996	0.256206844527469	0.166319095801072	0.0551417004058328	-0.022340934880026	-0.033197275151511	0.12144409416635	0.112740296722575	-0.0528211135181698	-0.020163022492233	0.176719915167117	0.110773456882704	0.150978538573623	-0.0230838011750067	-0.0450886417515243	-0.0223573068231127	0.17947492765157	0.090528184821481	-0.105426144914135	0.0292704552235953	0.272211394536631
"feces__J430"	0.0976639003013536	-0.108016252407219	-0.105208260338939	0.245987532952563	0.0439395680013172	0.136970998144416	-0.0212371654343419	-0.00261017810575646	0.193397531079472	-0.0343402795249129	0.0903615639154945	-0.177612529459128	-0.140896322539264	0.0513582021794541	0.00745027463309817	-0.203207818278376	-0.0467100061574519	0.0331735871007218	0.114002979087259	-0.0450324067404711	0.238212968304988	-0.0392451144917759	-0.0926820039470077	0.0451205652407307
"feces__J431"	0.0803716840469728	-0.186429467907316	-0.0844705938207225	0.0843329966667068	0.178815805048874	-0.201172103068792	-0.128022414033467	-0.276648850897545	-0.00217051541371317	-0.218119245122555	0.198255759956947	0.111142048477106	0.253504514198041	-0.0608551889178259	-0.000144981165058687	0.117922238342884	-0.143951515310747	0.0445976848730776	0.197524000225881	-0.11165932059333	0.172382466739612	-0.0416945957022751	-0.201067545276295	-0.188508310901568
