"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"
"feces__J401"	-0.141508466492318	-0.187677126618541	-0.250279509261663	0.0796654836580033	0.0272682581855097	-0.0919240885015124	0.0384264564351165	-0.00904600689133997	0.146711982513845	0.0320352290085918	0.0749044405764629	0.327882297292526	-0.187462566514802	-0.0185063389783283	0.265360197371756	0.0453666342404242	-0.0910320237280303	-0.070606700487663	0.0397743070542839	0.0735400490608145	-0.16950156744233	-0.0121682947669793	-0.210909302538782	0.0936019107368128	0.0577763121758196	0.251383767290648	0.0605788378735911	0.290013672190218
"feces__J402"	0.191231652709406	-0.104959204429014	0.0250895649684652	-0.270497588174158	-0.214415890153699	-0.0196840619258965	-0.0633302697212832	0.163367078480987	-0.112901400897217	0.100191400426374	0.174613300062067	-0.0752595896156473	-0.0419978616775327	0.163645853125389	-0.0472969333942113	0.0535366991083139	-0.00920785424273575	-0.102226304460142	0.212975608649721	-0.106772999030263	-0.0389147911444261	0.0997230242542781	0.202888318823033	-0.156489561931281	-0.148614698794701	-0.122521568889032	0.168535780889583	0.126395395554285
"feces__J403"	-0.404230956700983	-0.0775390394827299	0.0505879087902689	-0.0624917607381293	0.238402894200454	-0.189817268610537	-0.224736864246421	0.405014079848173	0.000259681423490074	0.244667388310358	-0.213315760764503	-0.0594686006379951	0.126876140009694	-0.0620553941394121	0.0237920197093173	-0.177437693835333	0.160724820395642	-0.107565233170687	-0.138820876815389	-0.00429209455713274	0.0820077805179627	-0.0574732169408672	0.122712189521156	0.0004760988785718	0.0421140685222775	0.010826832384933	-0.068440118335877	-0.0497629651050753
"feces__J404"	-0.0792157425666263	-0.199224138688345	-0.196214085084452	0.13388392250298	-0.0717919699321964	0.189386007972538	-0.106385914221798	0.0668950754653885	0.10222397081098	0.044378412961284	-0.305315961752986	0.0608396570793253	0.00977130791272035	-0.0845652630123464	-0.0355309142900118	0.0736633850094893	-0.349979676877328	-0.149597047953336	0.0340387932311246	0.0241537569020263	0.0775989697240492	0.107070932418693	0.31584808865896	-0.152313563425669	-0.174529263295173	-0.26641160117688	0.125960652134971	-0.104791098545564
"feces__J405"	0.231205361138937	0.0732855599255967	-0.125866968573852	-0.0894066784878828	0.200657295770709	-0.0200102572362061	-0.0532878417646598	-0.162042692256699	-0.257115202053987	-0.088999640570931	0.0673343783264276	-0.0302342799538767	-0.209042623894255	0.0680095947992256	0.121561237388575	-0.181960415481001	-0.063346126404331	0.0342081877400141	-0.448017704191128	0.140206834489232	0.0947151296567244	-0.0100210931289517	0.171184591030616	-0.000363909345807063	0.0907887394800378	0.108375151253702	0.206845289845306	0.0561057395823439
"feces__J406"	0.017626338539391	-0.0345274184427352	-0.0991642510555649	-0.00195600375015749	-0.304250732085087	-0.0616322454708497	-0.344269163363966	0.0550613529642607	0.0783206603903616	0.072881966070721	0.103663788335181	-0.179117999298799	-0.00840938934394365	-0.288057451129164	0.249891669278301	-0.110221529018072	0.135865933307552	0.332022742874932	-0.0704056544787998	0.242444393609363	0.0791891781548307	-0.0779417300984724	-0.0217046593895702	0.109477554742806	0.0946266284590542	-0.1523561388943	-0.161460716624617	-0.0785277713460225
"feces__J407"	-0.0542472174348077	-0.198481204654347	0.203404153815367	-0.0581269227367047	-0.175670994426139	0.143250879242234	-0.0441520998865007	0.25095764520671	-0.0294597910385151	0.0209235451867478	-0.0759134926328205	-0.125001172941434	-0.0939793459717084	0.0874586148301558	0.0737807627280474	-0.0438443439198399	-0.152859075768815	-0.016957674971656	-0.107487541659207	0.00833828908082471	-0.118556151546131	-0.34503375871808	-0.0564202249866049	-0.287914772740256	0.181711256796907	0.0812459024451516	0.0821581547488135	0.096649479624153
"feces__J408"	-0.173734435774349	-0.262425434675669	-0.0958592659203633	0.12257398891358	-0.198090122977404	-0.201079618332508	0.160537555294308	0.0533369598816997	-0.105696100399011	-0.151262444661399	0.166390762865004	0.228988567435536	0.00573390123473635	0.137165825379582	-0.252080295392857	-0.0824571674935209	-0.0256409956394278	0.0947092540592032	-0.015141361847356	0.0346300237999644	-0.059739732157764	0.238891070897943	0.107429148841993	-0.15574118956899	-0.00653160373791627	-0.0317956333772288	-0.12484642781662	-0.195902054776638
"feces__J409"	0.0339534621896705	0.241832058589206	0.11573672285522	0.017533079928067	-0.117373325168252	0.108667591526847	0.0721968093429304	0.0384279332415171	-0.204982556207937	-0.128925653434704	0.0833024019821047	-0.184541735938636	0.121267666411278	-0.129647524976173	-0.320666896712172	0.0436375842925578	-0.383596020843049	0.0445839668011694	-0.21682486756401	0.208602989897117	0.0459625507293219	-0.137634489843686	-0.0445244468860584	-0.00194307083213387	-0.103295486712265	-0.0372697779098855	-0.213240484716448	0.0187572986950038
"feces__J410"	-0.13341160074296	0.152511874828154	0.17643637467939	-0.00887052039657735	-0.135729850624757	-0.178645281039094	-0.101562032096682	-0.126166447854009	0.256414390718323	-0.31236653426067	-0.232276418578235	-0.0941371955638158	-0.115051066807602	0.0840687110188431	-0.101811666354159	-0.0340923187022745	-0.11244313652823	0.120192219218992	0.191673231453523	-0.292244432857141	0.206243243267255	-0.0471893217758258	-0.0977140025394565	0.134075736938805	0.0012642540122035	0.0544030676956055	-0.0188655149322542	-0.120756261598806
"feces__J411"	-0.0818835855949768	-0.292732379321582	-0.170000921045582	0.185221355461936	-0.00778457110151829	-0.0109002919133912	0.147574900428	0.0740414294512994	-0.00010304734648663	0.0357326490307567	0.0443278058698187	-0.379638741972746	0.222576359044312	0.212923600212899	-0.0678231250538981	0.273750968385258	-0.0464218721950422	0.19477044984202	-0.0838954379161747	-0.00398673118939126	0.0250990114180757	0.0581788635453302	-0.263052760736507	0.152705271072234	-0.190306417445598	0.145039330103473	0.124204121261306	0.278341774566363
"feces__J412"	0.137600008421254	-0.133989485351903	-0.0630467168738717	0.0349429351254734	-0.108879849200935	0.0105677887594947	0.117085916453953	-0.0229251390611052	0.00545240839984081	-0.118845056073542	-0.036053972278533	0.159430206737323	-0.150516133234176	-0.00307976104680297	-0.146704328963337	-0.110297292778266	0.0332247087615437	0.0224454126551893	-0.243670437291209	-0.175572586953676	-0.151845601675122	-0.213521773493769	-0.0733410925239958	0.12259717514936	0.237654931532983	-0.0886546563235497	0.0312672090230987	-0.208204234424501
"feces__J413"	0.181744168361597	0.111291307741212	0.31918720317259	0.179973257537621	-0.133713077467758	-0.308382322981907	0.230971672622363	-0.0784471411888043	0.151797286791789	0.236128836846473	-0.158088087985986	0.00355783680506326	0.0313417077874133	-0.183550784058103	0.121708181410926	0.00937749041817068	0.117200298678022	0.211077397768083	-0.0631353011472641	0.0900836954673052	-0.0815816802293644	0.0208118743654106	-0.056435821782979	-0.188630648775457	-0.211777315186149	-0.10453483209608	0.101803587268734	0.156621417536103
"feces__J414"	0.0362805739115875	-0.0306927627560106	0.118193788065141	0.128351064758333	-0.0382705771162329	0.141167865231942	-0.107148806621506	-0.00885037627489944	-0.198321461391432	0.119989591060819	0.0501701063514435	-0.00382224217672648	-0.145833779300226	-0.0793090920548312	-0.424573479411422	-0.131957446680322	0.373316485271697	-0.112720152658163	0.0786212858112179	0.0509008071966155	-0.0623543210048587	0.208977643362053	-0.18619278697397	-0.225584139560701	0.0129585802741601	0.160360895713635	0.176935358522006	-0.039420884149625
