"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"
"X7"	-0.0790652633862712	-0.0319136614385164	-0.133168551374377	0.0336182425376775	0.220982532069942	-0.156174212314323	0.0748524197373705	-0.2558268438979	-0.162871109317401	0.173728732290941	-0.16929690967069	-0.116329715517685	-0.0460341840171877	0.00918407373660339	0.16573674788758	0.0487897058873887	-0.0611678329084948	-0.23990169680178	0.191648231726232	0.0265933156049995	0.0488446848294454	-0.0783795963634389	-0.0291377961343516	0.116653198571227	0.271260652074272	-0.0458678507324032	0.321048454786582	-0.041945987074275	-0.10499191365868	0.0738019956564939	0.273186930216899	-0.248366117704803	-0.108741997413287	0.0511116511325382	0.098562938306934	0.159884496684532	0.124447276383117	-0.157024322200045	0.242358088784889	-0.230143388898418	0.135070040000666
"X2"	0.137872186251195	0.237500192596204	-0.0549689610059538	0.0391265982704258	-0.05933671523671	0.2077259969038	0.147594721486442	0.0282003505610447	0.0169885245658029	-0.146450929935044	-0.0284256019651909	-0.024178344549985	0.0250577978903329	-0.0837343980645212	-0.14851489163661	0.318885093008447	-0.165468279867846	0.020387529688148	0.00774376347224552	-0.0862276016983412	-0.0329791002333775	0.24495566516765	0.0350804030882175	-0.226407744694691	-0.111359613594751	0.227050387316669	0.199619175166211	-0.161714403777736	0.0690422927407938	0.0511142881263915	-0.135137714134261	-0.152789121813908	-0.0372082037150254	0.347388605861945	0.108855227379244	-0.331847581854916	-0.00175293329249369	-0.170074610759105	0.113606661911133	-0.0416465237501369	0.238838408464997
"X8"	-0.284045800774269	-0.128341320665595	-0.357085226402722	0.0943350358131333	-0.113483837547992	0.157815367044606	-0.191961431158084	0.0826247963287565	-0.043582616792531	0.141767116302567	0.090087697602806	-0.350895206071953	-0.0457097713357276	-0.0298391645788001	-0.112775026340678	-0.214222021325443	-0.194820953895627	0.259801423084821	0.0771423372037146	0.213934272596182	0.199621711816583	0.18675483573696	-0.00689410611521388	-0.0314928009050314	0.0384991509615445	0.0851815549721991	0.162060579297357	0.277341234283968	-0.0194193623434243	-0.0378556222651381	-0.150047988154146	-0.0926370355390355	0.155398972178705	-0.118378561075685	0.0111018753723619	-0.0582335769335189	-0.0267726177849853	0.128767989888754	-0.000293078629188231	-0.0276041262272365	0.0940154803337708
"X16"	-0.143950219499429	0.0709065927332559	-0.132369624158835	0.235713138810419	-0.168253491305193	0.0370470426352151	-0.316570658578557	-0.179086072261313	0.0640700841249616	-0.0836448576605643	-0.235448458391019	-0.152797570894978	-0.019056906856871	-0.150730319819819	-0.0315596053592139	0.144805493842228	0.188580984674436	0.0431578941283054	0.309407606109609	-0.0064448658233314	-0.0903021353159175	-0.169151192265488	-0.126148301703012	-0.06334646548436	-0.21647483797553	-0.160794900875354	-0.105246189311227	-0.0841640536527788	0.0884857343235465	0.0873651485683635	0.0529317763042399	0.200906905451549	-0.0968917606434041	0.0883733652159217	-0.121555137515242	-0.0260533242218174	0.42881489234358	-0.0314746949870773	-0.0642244211701201	0.134847499442064	-0.0350026877339801
"X0"	0.254033458104953	-0.0349887928712141	-0.10320720629044	0.00610669182908385	0.192659506670799	-0.155920347618097	0.0540043907777495	0.221053006430152	0.139535465318566	0.0136856724726928	-0.123426497777279	0.110861296046001	-0.282720373877896	-0.0789385842822492	-0.172478074980481	0.139022920453953	-0.0567713169160352	-0.0332837736864411	-0.249244131559713	0.210661681930056	0.24565405223726	0.0520531349962805	0.0452645815061092	0.167206023716778	-0.0767083915809532	0.0699674069237355	0.133871789590639	0.133070198918633	-0.0030551423082569	0.209760734727352	0.0881400248585961	0.0936119802268421	0.0833303242113527	0.0745132898247984	0.161518390951363	0.0435991630096466	0.353012050273029	0.0587798804622307	-0.268139605512673	-0.0290547177788948	-0.227969366444846
"X3"	0.0716161595727744	-0.0418233928079075	-0.253314352624277	0.257954348722752	-0.110478949519771	-0.134025167829014	-0.230753992960783	0.0021606302380089	-0.00681984469482305	0.139988104700716	-0.0467330768169992	0.0719790486137666	0.121812959652125	0.147323613621615	-0.0440028996941961	0.0756327284551779	0.029608938300329	-0.126170116731694	-0.194131625645012	-0.126609158031014	-0.16176156904734	0.322980691237937	0.125269608513191	0.293939714102804	-0.0409500156827046	-0.186874323516163	-0.093939726818318	-0.00915739255117668	0.0400001177992315	-0.0046892153563499	-0.0952076651907224	0.118478911913872	-0.250390300232161	-0.136167484999329	0.235672001614379	0.0380863827385332	-0.227197431889378	-0.259077901996251	-0.163178612189244	-0.0208953737277131	0.163166339852659
"X18"	-0.151637909807571	0.0325700238977407	-0.182610461230055	-0.183712286667396	0.099184445710428	0.189919682444311	0.0637819267469227	-0.168371143671244	-0.00753525723901929	-0.0329979419504099	-0.0439380734631452	-0.107245903258606	-0.0283016685219334	-0.101783920440709	-0.217715849579477	-0.146351904798043	-0.278315379000306	-0.327006531622629	-0.136838851467369	-0.155292839933616	0.0304178207684442	0.160364881026134	0.0795842233494833	-0.0180999269363324	-0.0310747189395247	0.292879791782391	-0.223574965747137	-0.132912666320582	0.0830998095258577	-0.113368053230194	0.141776044535428	0.0779565118855412	-0.192845676055448	-0.0433321791487807	-0.244742905906154	0.22042867997182	0.00232140117121673	-0.0673474228862166	0.0126441494029835	0.158384714533766	-0.271932089237299
"X4"	-0.230526972865668	0.224699615608605	-0.0378318960201739	0.116823937183213	-0.0185245401646098	-0.107954888153388	0.34630812699069	0.0845430959373101	-0.00433958554263537	0.0759162646446566	0.159231003834276	-0.0841498050316598	-0.1422333648137	0.245948051191432	-0.121577956744783	-0.252485810019146	0.0534628203949884	-0.131297473692759	-0.00878939732233122	-0.0287931948900391	0.121734603880443	-0.176679840795475	0.211823970400959	0.166050397067069	0.0136565635578562	-0.255255085804403	-0.0708693317642711	-0.0332869341242062	0.252916620411394	0.0895440181192001	0.102997480489102	0.117429431633606	-0.00706336299588275	0.286964494058416	-0.0797603443701635	-0.239713691024369	-0.047762793254835	0.147937175689741	-0.00493312358033503	0.119957494678108	0.169693510217407
"X5"	0.065220940431553	-0.212587210943841	0.0708766156576308	-0.0357951457530863	-0.0345302298764215	0.0525984216626039	0.0436115904670604	-0.153854008640541	0.0741868420900368	0.106494875801611	0.253395511407798	0.136850847761006	-0.182848343517997	-0.248429325470329	0.142858639537624	0.149193017174269	0.29702854483449	-0.113309012799471	0.171148352466449	-0.0546393927178377	0.296426367450814	0.197435494289436	0.332290308233505	0.0189196043849573	-1.28868338854088e-05	0.111277337136378	-0.0130851261427108	-0.130544463157146	-0.00906323543543558	-0.0447739912712935	-0.0829695427741665	0.1229807796172	0.112788668559473	-0.1526328160295	-0.220503705012661	0.084490928716054	0.0546159582100557	0.0699615021745681	-0.0619530343418014	-0.00414308807000013	0.353748454866374
"X6"	-0.122895939318327	-0.203917224219017	-0.0796247331850271	0.0987524370345609	-0.0180484146046738	0.242706181719741	-0.138333654600601	-0.13320451847265	0.310380497947989	-0.177134773842573	-0.0376876086075577	0.405189693570744	-0.0338889582723591	0.291722481988854	-0.0318998323299424	0.00822199623131467	0.106660190248552	0.223010816376349	-0.0794514942158933	-0.165097755325557	0.177819529809503	0.0969504987677999	0.0462476648159077	-0.0297881143136539	0.209273721596141	-0.124973570635743	0.0791798196177159	-0.0721883510796866	0.0513576514550596	0.152120039331678	0.0927893756112358	-0.138362771623981	-0.0315631566388194	0.0604073285594824	-0.0222998410276691	-0.00918287309416886	-0.0448702587861123	0.101662036004681	0.29121258524925	0.0208057306881907	-0.246350062533597
