"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"
"J401"	-0.133420464449295	-0.0473263754365961	0.26026664859042	-0.224211130178021	-0.0756430669630492	-0.0199973170122893	-0.242752982321756	0.366204891437799	-0.0790587960473255	0.102961236972259	0.163068564799466	-0.195070499049566	0.061784338197749	0.252704633069005	-0.1078304921144	-0.0637557928683659	-0.0548141197446987	-0.0167082780237516	0.00577822884185569	0.0483958890683476	-0.00682983739708799	-0.10851633033653
"J402"	0.111613780564952	0.124946131958202	-0.232951751049957	-0.283303627662044	-0.03296012521164	0.190350084876459	0.00615729861416973	0.00453611375346949	-0.120164802727465	-0.131299035083111	-0.183717158488889	-0.0421211337783922	-0.12410666517583	0.0163714157547232	-0.0675276618271554	-0.13519817140833	-0.110309886992539	0.000895212851281054	0.0665126854534018	-0.239318954369313	-0.00562415968918341	-0.0733262502457395
"J403"	-0.357451987578809	0.0606285985574709	0.00555828401342306	0.176294826551817	-0.145384528310727	0.0628022951883026	-0.145255045188658	-0.289835629868443	-0.246303780924515	-0.102019292643632	-0.329551869631694	-0.122248741315513	-0.0366554051209071	0.384865534748733	0.0553669189777402	-0.0837917583496418	-0.138845661445032	0.0631639774879955	-0.0960631992965771	0.0592234606534657	0.215336170647149	0.115531018022336
"J404"	-0.124527858361926	0.0226446954070975	0.0842185967461688	-0.140948128830874	-0.429219916541299	-0.229754417601933	0.0931858699756357	0.120375514715316	-0.243112048639819	-0.0123438209601217	0.0931626199112242	0.333685981578605	0.0219848050467154	-0.172124298384067	0.0279874083809506	0.131377863165465	0.170467472386391	0.037181574466132	0.0991674141392389	0.0377672634706365	0.120016877411797	0.135499024440779
"J405"	0.126080050489402	-0.069534923984104	-0.0168272152706281	0.192683012179663	-0.114600092234651	0.00597175821583034	-0.0229155772890173	-0.121096344817237	0.0568167686521474	-0.23401805746381	0.205771022968748	-0.200943174358395	-0.252278824784277	-0.0240714768494169	0.175837031962976	-0.0784686833130013	0.263244651395944	0.0053699725629804	-0.00590156282918619	0.2466293502246	-0.241584564612054	-0.0291401605665644
"J406"	-0.0357545051281586	-0.13899051335676	0.396322690189083	-0.126224352687852	0.187662621386945	0.0436970606905927	-0.0770078822153547	0.0334999000759233	-0.152421191898424	-0.164027388785929	-0.127188274913677	-0.0696611176329862	0.160285115742288	-0.143800997077487	0.203866101376117	0.0501323491095532	0.0227827265582744	-0.0727830122878563	-0.174402512875922	-0.0853163970981769	0.06671106385615	-0.160569575399035
"J407"	-0.143378407095823	0.253342634236234	-0.0605435735422259	-0.0226410609292629	-0.0091125610812397	-0.00278418965791148	0.20103745980806	0.0137691079281743	-0.140014152202514	-0.412264992430651	0.125669058052293	-0.0102031190226768	0.122363470244719	-0.0371206791980523	0.231293754316473	0.162619815000876	0.0672098963060474	-0.145194383424489	-0.0336742814789062	0.0973459478949937	-0.0844509400845433	0.017109588792724
"J408"	-0.130546848363981	0.212696535815898	0.199344085716091	0.0249216711669909	-0.00364132503219782	-0.213327222778019	0.147596445300152	-0.0511207764866035	0.0742362194925959	0.106834192093626	0.061544931013989	0.141823452679074	-0.0813138226776036	0.216945116143023	-0.190274519057916	0.144249457501206	-0.0705899769003276	0.130803254399774	0.15815201707459	-0.0773468349801505	0.113699451304616	-0.169119260961102
"J409"	0.0894244236706797	-0.189007750858921	-0.0998334101635074	-0.0815496034043518	-0.0210747680443144	-0.210516064328074	0.0111268971971254	-0.0899839178872208	0.18527412887463	-0.157184338302154	0.245928664864382	0.150322585184463	-0.210974756864883	0.143647506136797	0.287726339148385	-0.176867330780504	0.0604688131309324	0.114447139716748	0.0738777906487109	-0.115301434318573	0.311215132209799	-0.0326442442297744
"J410"	-0.11780987532873	-0.0703891261586187	-0.105344113665867	0.02105239342825	0.329334685116753	-0.31115857208276	-0.0949427263291157	-0.0919225877142663	0.0753214550423349	-0.080519033111151	-0.0647173555202889	0.0388804471910488	-0.076786854317687	-0.0143399110783752	0.140106081111692	0.262373210700342	-0.330798368169632	-0.0893908742806098	0.221108377704147	0.124700520535167	-0.00152859391482926	0.31465739382939
