"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"
"feces__J401"	-0.137216274789637	-0.115229456952823	-0.260306808842472	0.0223810305927775	0.138084693879473	0.0950829745544929	0.0764552420556844	0.233376175161337	-0.0155028210149634	-0.0264278718522148	-0.0439698900001037	-0.0984614322693739	-0.00937754314740639	-0.155899631482129	0.100294852316004	0.289359530176477	-0.246841663194039	0.237978121049094	0.0733336208501086	0.0334810246394641	-0.121148177674543	-0.0859076534825154	-0.118436969422977	-0.132268499495631	0.124207415758905	-0.0973416589191915	0.281806589422844	0.2225484967655	-0.0523409334384049	-0.0843650605117263	-0.208695395229063	0.0927400892813693	0.285596295345805	-0.202238145522947	-0.019983099927497	0.266931786254721
"feces__J402"	0.134717346471961	-0.188965363138172	0.12538646897963	0.12459375545524	-0.188385310914728	0.0760710484268121	0.198887778769394	0.0661612999528132	0.110188781611975	-0.22335309303429	0.0193573750043206	-0.0926129166811324	0.103014802892983	-0.0711855528708439	-0.0981591836683458	-0.124833400131098	-0.00275964166395326	-0.0196489999940903	-0.23373065710221	0.169153463564167	0.0527094078666629	0.231299620516535	0.0563628181148099	-0.260892476251508	0.0184559542309864	0.0228815781978229	0.302682905109451	-0.0177697008793391	-0.287917589732174	0.00564804019415015	0.139616406389992	-0.237844063801454	0.0835779481644446	0.062998327748473	0.036162068367298	-0.208385886537266
"feces__J403"	-0.331199626248175	-0.0554602186648433	-0.0786000603885249	0.0134683434075921	0.0744610880314456	-0.11862615778019	0.0323709077165686	-0.318960530562934	-0.0945500230114449	0.411793716497151	-0.137551944176082	-0.185621649887297	-0.200103716448562	-0.233884415207449	-0.0746855310198467	0.0597016514668506	-0.0732953720125166	-0.185836204439311	-0.0456587878553816	0.166051941430544	0.131112179663198	0.13552004278138	-0.018032723284856	-0.175948674415103	-0.228182787448897	-0.0944148810322854	-0.0199792456691721	-0.0762408802446016	-0.120982713462478	0.105778040623422	0.1268876903964	0.160181831059828	-0.18599736386434	-0.147054038287238	0.0612905314407813	0.061382220201641
"feces__J404"	-0.123762828423387	-0.182526613379523	-0.131647416915398	0.12179158384898	0.0644571832082566	-0.0568768546559871	-0.340138204722988	0.274603592334171	0.093769031512122	-0.0138440642548824	-0.152241838444482	-0.133771509464615	-0.0724231420485016	-0.00267896916638805	0.0489451739619119	0.0734632982220423	-0.15307315810219	-0.176164131087795	-0.167465540383098	-0.115181820436008	-0.0728212833224715	0.276806522027665	-0.181451156134244	0.160066410082718	0.106244888716288	0.164121747359666	-0.0659545222029958	-0.17639494858943	0.333589933180472	0.0382813280895814	0.210762718241934	-0.21023762256627	-0.0800662597659988	0.0114981612218045	-0.205603334508919	-0.138421251268287
"feces__J405"	0.246790329286592	0.048429371113915	-0.0339308145076453	-0.042617136016852	-0.24457241123072	0.146419444689512	-0.0547580393909268	0.0983646281994865	-0.0365838940142863	0.449707993295242	0.252985416286704	-0.144326998632712	0.124546735063218	-0.375407752392171	0.020650800489861	-0.0079540984625244	-0.094423002836078	0.0938172090388297	0.102146030588662	-0.10699123063767	0.019669560574689	-0.165218949464812	-0.147570836822156	0.190122374183974	-0.0166955669774546	0.160683391501852	-0.014145478323851	0.0130650209849401	0.118790463912412	-0.031296396620225	0.0259359258417981	-0.182640012923113	-0.00261320343019161	0.0582322800745182	0.0769923642007744	0.0944478578774617
"feces__J406"	0.0344388523521619	-0.0276864168184965	-0.0285623520000437	0.221403875502601	0.384893230008253	-0.0790817621464793	0.185972967194269	0.102352675232832	-0.238083624278401	0.00139030601951595	0.0340183414764839	-0.100856049895282	0.0644934432372337	-0.119079644077341	0.201217386864316	0.078275591657934	0.133423082100777	0.138801595138525	0.0847008940887154	-0.116805861062835	-0.0956983440212266	0.0909148640924337	0.18817047075357	-0.0262148172182342	0.0139058753131247	0.166617334392545	-0.00755302304666897	-0.15033838347821	-0.178388197449699	0.0608850593173148	-0.341262588024292	-0.112861706592081	-0.418175117154793	0.00146506056391341	-0.105178947422025	-0.163901311922997
"feces__J407"	-0.0968808657935912	-0.142757294303188	0.300621917272501	0.0609833381847547	0.155531647015825	0.00400775870141978	-0.0593556168542444	0.0389143950919772	0.0418991923022269	0.0228638371364407	-0.013238840311393	-0.127487284378248	0.02014332792009	-0.0513063943762084	-0.180568039552891	0.330831172131393	0.186008551636276	-0.0546766944778009	0.266235642014263	0.163260789267421	0.0999771118035473	-0.365143460241271	-0.077347324974343	0.109707422641992	0.0267365866290527	8.93853927880564e-06	-0.155662881646181	-0.228905252978826	-0.237094353337423	-0.00341220126616704	0.155432524339743	-0.0476025274429931	0.243049314135076	0.22927589552593	-0.122903378282008	-0.104318738004513
"feces__J408"	-0.295052279632532	-0.155027878977379	-0.171336077142948	-0.0742909704026178	0.104706999226324	0.296041959137229	0.0451148766347795	0.0461860701273836	0.109497695164822	-0.180500831896931	-0.124972605296162	0.0178530709418224	-0.0257898196429396	0.147979383857184	-0.302842003213	-0.0782910767296377	0.0797066491494275	0.127025898327503	0.0710971727907808	-0.154059447345581	0.0140824360482986	-0.0207321058309991	-0.229431852177531	0.171819311282441	-0.327723652243359	0.16720805751243	0.0437697454585308	0.0956925137120411	-0.116918029716017	-0.197345592420946	-0.0895995061397029	-0.0238045070856892	-0.049436931309994	0.0464494001353887	0.03691580054676	-0.109938923094173
"feces__J409"	0.0759290353385449	0.18327403900549	0.0778218245408544	0.160909451790555	0.10892441054603	0.181223916324443	-0.161250319478607	0.0633314178573555	-0.53375060686205	-0.0480694773494993	0.240274253828063	0.12530116727489	-0.154378425229586	0.106513020667234	-0.150307990030924	-0.142312646587686	0.0732228842928237	-0.2045931023118	-0.0370400204150355	-0.0766300583337292	-0.100349513118081	-0.0266526348338552	-0.118153632066033	0.102386778821611	0.13902993666984	0.0593707365703096	0.0838711253298386	-0.00767445123181652	-0.215371677640218	0.121784669019638	0.0803640607394799	0.085534967615706	0.135599916360694	-0.0846367891741937	-0.0293566777562691	0.0922126929931777
"feces__J410"	-0.161192328931527	0.142609921785491	0.240707087882121	-0.0543199684502543	0.0100868264808129	0.0532695303672797	0.0707042398961626	0.0519678450206272	0.136841433198885	-0.0153069930943493	0.278933210493866	-0.0682295710270666	-0.328856142627393	0.0815894823709194	0.122457575932106	-0.0546875291585226	0.253635359985548	-0.0591580996485147	0.0329636003456325	-0.0450534625192491	-0.129724209482571	-0.0616935586526116	-0.0275313047633972	0.0186670183277538	-0.257348176983994	0.0308223425470404	0.2688555281375	0.0271418738970202	0.246617921510361	-0.292516874743157	0.0696718753713124	-0.0280147746723416	-0.203663452464703	-0.0330091955904816	0.17195523471154	0.0863902162027752
