"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"
"feces__J401"	-0.113285061445633	0.1184495892218	0.00323954957853026	0.288904886906964	-0.341639724478703	0.0113605966545403	-0.132920803434191	-0.185498362779627	0.0186745793507084	0.289646057095739	0.181225830810436	-0.033686085050194	0.0225976086981985	0.184467481999273	-0.12972489840245	0.0839917937687336	-0.0482972121314664	0.173945441720764	0.104697809012149	0.273496885594801	-0.0141046186350749	0.0690066328198981	0.0126473754388232	-0.0196805707826985
"feces__J402"	0.111448835386279	-0.226165712189509	-0.181481215720352	-0.00834327184097266	-0.0970816367021842	-0.00979562711343115	0.178510999921584	0.0385962785939565	0.147248642190642	0.00800578324840549	0.258459049589654	0.0541237754088569	-0.0801287716289689	-0.152568799561908	0.188425400910788	-0.166199263874883	-0.281817159696054	0.0813301334961081	0.216233965368442	-0.0266236404288997	-0.361593378198959	-0.0661939178644878	-0.108652351049864	0.122325307836346
"feces__J403"	-0.334742327318275	-0.0217529757501161	0.258765413103456	0.0791557144876577	0.237906099442035	-0.172067362356077	0.105380718282273	-0.0398758829815179	0.104751205814756	-0.125085371542824	0.143842105592991	-0.180910921892463	0.0694150768679104	-0.0732326553196282	-0.351166779840048	0.038403323632529	0.260089822595075	-0.0434930080058011	-0.0857786191899343	0.128471129953277	-0.0696365983817516	-0.00813491859412029	0.0161029715651018	0.205733504064212
"feces__J404"	-0.0747047823000635	0.047460434534212	0.214501241338076	0.0420014826950012	-0.294736976691181	0.0375846117684375	-0.307634839200909	0.0566701941025409	0.249129487582255	-0.0502895991130587	-0.00833864099083696	0.204968326151587	0.174395597747723	-0.371915134252932	0.0510284788061669	-0.104932134572557	0.145489187902267	-0.14121685500109	-0.159704135113223	-0.299526542258383	0.0381728289344835	0.147185769126568	-0.223878653370239	0.0630048617643482
"feces__J405"	0.138068025393837	0.0518661768945485	0.0663512522536734	-0.215169644888379	-0.0977478541583131	0.17856146347104	-0.134593354634088	0.0269041206048218	0.023489631323911	0.0173980080068745	0.0560965310451832	-0.391214631901235	0.0741756963555108	0.177635339193408	0.163338609788464	0.0877400106231536	0.221177934094783	-0.135265321237949	-0.0496489285986526	0.0913275401540444	0.214840916712134	-0.000444908913394548	-0.254414300787406	-0.0465300131170988
"feces__J406"	0.00225432551791619	0.152262042845873	-0.131815696787975	0.296904152660881	-0.144097471876756	-0.0341360692072111	-0.08353874633959	-0.243696446206523	0.170611809104832	-0.0964680040697214	-0.257341255370884	-0.0585551401846044	-0.180830324751479	-0.244654902805747	-0.00733755428834415	0.163798431743321	-0.203202424873467	-0.079467872545785	-0.0700205716959532	0.142834881740743	0.1379335105642	-0.321228137952816	0.120952649261584	0.0910440041611558
"feces__J407"	-0.176122591353976	-0.314615074538466	-0.143484455206354	-0.0871572756591438	-0.0544450541766672	0.110595348659126	-0.158057757237758	0.0472609662697093	0.142578013562498	-0.0133406303241951	-0.0418913503080321	0.19577583380598	-0.0475785036738265	-0.115925544084832	0.006605806399636	0.254894590010722	0.141127397512786	0.103934262500385	-0.246702813140216	0.136870216296583	0.0568069781989573	0.0109317890031787	0.09066872341016	-0.0212341054560883
"feces__J408"	-0.168713012371009	-0.0739149568237921	-0.063095201512079	0.36891008536386	0.171589735058471	0.0813398875503065	0.0582794791537535	-0.0353755335866776	-0.357479319760422	-0.155189874986136	-0.025263380740741	0.244960887972472	0.226220145997601	-0.00697079618950218	0.15194890950056	0.0341061158927171	0.0651274555614205	0.0171037201095017	-0.0579946648901164	0.0170247376664543	-0.0707977117430647	0.0763229149910526	0.0630670224451499	0.00387810962486257
"feces__J409"	0.0806705095529687	0.189669422318723	-0.142449795151918	0.152683390357872	0.0222503853701611	-0.088259193912815	-0.195988354754346	0.546777197606131	-0.119403332980249	-0.0612264532326913	0.00720052579993664	-0.160363258801557	-0.0778217270349812	-0.0167431606515935	0.0122636005843084	0.0505107034538131	0.219308923194629	0.11251862328977	0.258712093931541	0.0553151169434083	0.112565350695488	0.0190562322237278	0.128343665629167	0.0426404936601242
"feces__J410"	-0.204653949969395	0.0730037350249873	-0.204774358261011	-0.0772846960679811	0.209005231336183	0.212512568743491	-0.120271045135472	0.158712004894104	-0.0367049347442764	0.374484775221987	-0.153201400875907	-0.179263671459416	-0.13222177587472	-0.129365957131316	0.125474588143376	-0.123229274186629	-0.00754385655522913	0.0313785479962416	-0.0874182269126171	0.0205464121892516	-0.122049985968704	0.0147134736074209	0.136649122230513	0.215169787142526
"feces__J411"	-0.0166237646185204	-0.0563404498632487	0.105158529733332	0.171552596717359	-0.0848788188120841	0.374340735835091	0.415978193909206	0.0990829736665928	-0.0156914312028936	0.0836430085118962	0.0576011377441197	-0.0267962437525656	0.00497097230441502	0.00662711744538182	0.0748407364335507	-0.0380007802103405	0.299215436710511	0.118027647568346	-0.273987092700158	0.0377967718203056	0.0104049491183367	-0.0568674939180355	-0.0979285822792805	-0.12335031674465
"feces__J412"	0.0796161183627926	-0.055529174128857	-0.216001226689369	-0.00804988011528144	-0.14773536366142	0.24532159528601	-0.0442252691280571	0.0678899561794661	0.164248791338194	0.00604093337184868	0.0516629141812284	-0.0914652317795741	0.106761579766255	0.193699257611531	-0.132742792808771	0.113195265134775	-0.118320144224814	0.227571200532023	-0.210542503902656	-0.137160146571339	-0.0883167384649822	-0.0207322669574324	0.257013396469615	-0.0823138580588513
"feces__J413"	0.274470464784125	0.0742728682175006	-0.142826960643099	-0.0199837767242996	0.212678806211118	-0.105931350427492	-0.0723818558982569	-0.136967905262397	-0.139592614954992	0.277929870415756	0.121299876628552	0.263421994773848	0.1820292084671	-0.207122247122393	-0.215992355735648	0.286104168486357	0.02861346127315	-0.00731910541832961	-0.0293132084530801	0.192879926284686	0.0447022086440656	0.168425134565841	0.00385888025499565	-0.00479773487292352
"feces__J414"	-0.0444734434102241	-0.143012505334072	-0.0530962785335635	-0.200486599784049	-0.130080382225359	-0.0729081838397521	-0.0994736729526785	-0.0996511880738643	-0.091717580770004	-0.288225184672145	0.0312389574663595	0.0107444282504176	0.316384246576747	0.0349068327078036	0.0888876164771234	0.0186686781879133	0.18596696852095	-0.046606378177635	0.227310958146638	-0.0264527826372985	0.0147304687039966	-0.199109875471757	0.103567771693984	0.153662125399633
"feces__J415"	0.0976910126478908	-0.163264049520677	-0.0608766928418799	0.00583704479859855	0.000511192750827599	-0.117436116921788	-0.0046608671866423	0.089173408642543	-0.0139161306149836	-0.128328673202735	0.206931627064562	-0.0742638442046564	0.0225524621403319	-0.12703570961471	-0.15179174230777	-0.443197144204922	-0.0949768649904438	-0.189892200517331	-0.172128471982216	0.364287602859136	0.0758762674609787	0.0153828419360594	-0.0130798411505222	-0.147852418241847
"feces__J416"	-0.213289444776544	0.0164201519119259	-0.00292414022388731	0.0223696715545815	0.198218202285608	-0.166943532228757	0.127465148059659	-0.0582488771644433	0.225237175466675	0.0605516104289078	0.211137305569809	0.0642684012181126	0.182903444899388	0.00652566934840113	0.283543115289295	-0.101972739967165	-0.0997879296945056	0.472306779652859	0.0795196171918292	-0.0745227578117021	0.163912340351636	0.0371738391483296	-0.0907107258143103	-0.157018193378662
"feces__J417"	-0.122046769238054	0.167734407463659	-0.122228965332037	-0.162559652770671	0.00996002526548507	0.248114597129097	0.0285127397391666	-0.316794811261533	-0.398143514171709	0.0204407604573731	0.212120904917563	-0.161570287103145	-0.0088964249519904	-0.222458306032987	0.143751772721918	-0.0242415667081304	0.0222139847225918	-0.117947734418393	0.190665994356623	-0.0764508351632895	0.0187295396916128	0.0747600029984192	-0.000790656062030633	0.0226404457201739
"feces__J418"	0.0705299434011621	-0.0991276838011286	-0.184407948290358	-0.0565126042049152	0.241026044032143	0.0475808094116763	-0.0964181577400825	-0.0887013622907308	0.181024277784952	-0.0455925897756752	-0.146954720488965	0.0233791991908053	0.113853492697946	0.185470562365322	0.0629713392865229	-0.137337577340237	-0.122498683437208	0.0156460343782162	0.0744116210478489	0.0360268028049339	0.426923061160406	-0.0270115606662343	-0.203305712856353	0.139725655380447
