"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"
"X7"	-0.0566907028298931	-0.0447385104142906	-0.258678800306457	0.0275358911575197	-0.26851910608359	0.139541926870727	0.00760031330726079	0.00835703173949762	-0.173163603152803	-0.100209788060053	0.279102935732477	0.152313929359227	-0.0893114938956021	-0.0840862546970466	0.0448719206610742	0.0451560422637882	0.0686769546484616	-0.0380692725508647	0.0376378971221338	0.121573452074669	0.171950321657475	0.128002059259366	0.0410505156649397	-0.0576897510307939	0.0630524624213681	-0.134220777574073	0.0424896445134545	-0.107164839751683	0.0578947121265518	-0.183963031474004	0.190050489192044	0.228966949985447	0.0108621498015992	-0.260175073739854	0.300332164244137	-0.074293177194039	0.0467538047617514	0.48021727274676	0.0647130113164468	0.111889619268188	-0.0632327360598022
"X2"	0.211103155796336	-0.192836682503189	0.0327439731801049	-0.0167893953584544	0.0851163864284587	-0.186010733213152	-0.0388628521682162	-0.0508503979748727	0.120408585765138	-0.0811612271250728	-0.0618006247789404	0.19641860489712	-0.233567242173379	0.183098377769446	-0.257634783576054	0.112484056509999	-0.00490303894846246	0.271907183066433	-0.111737135609977	-0.0832201009930794	-0.16425518904208	-0.215448680550156	-0.0481879486534226	0.146287229097638	0.0700164945210165	0.17401508882308	0.0739135388539804	-0.0743540874163747	0.230506528028523	0.0850762228292307	0.114653268194545	0.00168843029571086	0.256238447518927	-0.204070666713452	0.28768693397317	-0.185845724398716	0.0422017875151649	-0.0773710205342148	-0.234748817135092	0.0375354611012792	-0.132217499225065
"X8"	-0.265573800628087	-0.0892377486064571	-0.208718461654433	-0.0317336620722879	0.0352586747917154	-0.254901641108109	0.00380168147108532	0.170402578133769	-0.0111468663332748	-0.0828777228158921	-0.199451231203866	0.322374568230486	0.194162386596226	-0.39269422497099	0.0833844091880369	0.0162232273808144	-0.198701216117316	0.103115588136043	-0.285938576340541	0.12934878196479	-0.120192612931278	-0.0579873591222911	0.096483142105311	0.0203117610612708	-0.0575253345893705	0.06720920697688	0.0332615962459225	0.205177178880151	-0.124769119659267	0.132929048675658	0.163769099672632	0.074337251119888	-0.0488549267182472	0.0175419230002778	-0.140077810645359	-0.154915033959235	-0.097112058642509	-0.0329803534063181	0.127995101780226	0.188565015518797	-0.080686494395047
"X16"	-0.100359827064656	-0.21050434039892	-0.0815442066679906	0.168703335584717	0.0214676909137188	-0.164310577449874	0.080227381099863	0.221813865852923	-0.236998615273953	0.0797852360022094	0.0358816287914808	0.0194466795972841	0.0295529751836174	-0.0938699852455605	-0.470909667738173	-0.0752364664471727	-0.190029866925445	0.0736857596344893	0.279821407077876	-0.083133412737104	0.171473238109886	0.104714537155023	-0.134019362014531	-0.199640615647709	-0.181039760167234	-0.184613470627999	-0.221294883056117	-0.0405438281497559	-0.0663590953261765	-0.0741543085499504	-0.0168534937597209	-0.0376430761265354	0.209397196356817	-0.0381925209910661	0.030887722042168	0.128809737264465	-0.140653149233706	-0.192712681962275	0.0103926615043378	-0.168387998596207	-0.00695296463836682
"X0"	0.221611423209208	0.1294920638793	-0.170290296503637	0.0498756011561555	-0.0742783511809859	0.0293733672430018	-0.0679493685992096	-0.159844499625219	0.0832131157699261	0.170917658360571	-0.0368144053107319	0.200054201616838	0.344855551037921	0.15106816187612	0.0671132637408378	0.00145155408897648	0.0975956427541526	0.0493164185358652	-0.122292309928479	-0.185966798095493	-0.1464629106175	-0.0521642192472379	-0.12786136194221	-0.0426198580255846	-0.134104588375869	-0.396354670648802	0.135611994761163	0.179717646519832	-0.223296200507135	-0.0171741574405329	0.148802033963902	-0.0791322774517398	0.00347654674593682	0.0407799049871938	0.216423979758068	0.126187945776139	-0.18018789520479	0.00777150271671742	-0.204628903036928	-0.0582538485985911	0.260985049133379
"X3"	0.0801538264317574	-0.0406281310319878	-0.274670022769458	0.125806897523477	-0.0892843407973991	-0.116854873181441	0.174141406625948	0.201764659688922	-0.0439457845280704	-0.147099724752636	-0.119313220511932	-0.24471538812511	0.0108317630237149	-0.0648672458485888	-0.00750839403969349	-0.0974441204500249	0.149789795350006	-0.13637974733647	-0.108037929701598	-0.138958644427755	-0.194302628810798	0.110669651044987	-0.109045321159158	0.183229927435945	-0.0423121927143939	-0.0636721629471868	0.0928360519302593	0.265379755058017	0.230797787567941	-0.0841625896737576	-0.132836232087036	-0.15717765026477	0.000790805193103608	-0.126544383853855	-0.0232000678284065	0.269992849942969	0.468932774927219	-0.0149691449784991	0.0182191432293776	0.0806405336639489	-0.0337061630112791
"X18"	-0.119925354175458	-0.114059304404441	-0.0567846623338826	-0.201652419704755	-0.198865741464944	-0.187488570335538	0.155241040775387	-0.238344992540228	0.147496912149965	-0.0842258913426418	0.11935895663899	0.0984698703784985	-0.145193412806533	-0.165361134922899	0.0853099454663005	0.00928090386662461	0.322080372873209	0.1175625581213	0.122546986482252	-0.0416176222814756	0.0463744110752568	0.219901756093343	0.0317291284717875	0.244067039457455	0.349215629629886	-0.118501888594926	-0.198765492549912	0.150322941360576	-0.0462133354523993	0.0990443631102063	-0.0970894728935614	0.00290251339831332	0.117127595148398	0.0568505237786397	-0.146711649697824	-0.0562177550064579	-0.0936515626010864	-0.0926455233837025	-0.0492434112102308	-0.305473006001312	0.145343747170462
"X4"	-0.115303106195467	-0.335887125563073	-0.077154534124946	0.0917657491805389	0.0744110841792113	0.235923349647006	-0.141683303012842	-0.069533311804366	0.300849713296266	-0.0247269557789384	0.10877074969935	0.00690444076151342	0.0373470664249953	-0.0831669283610315	0.251885897460914	0.107737799156609	-0.0837142809782997	-0.134714182249534	-0.09776037153268	-0.236851203093819	0.133218769842322	0.0925568259372804	-0.263315152062384	-0.0407769494940709	-0.0208024948350053	0.113099006491185	-0.0654073299441973	-0.245181871475478	-0.294665650101568	-0.078733267521488	-0.108240623013075	-0.0230791562257115	0.158684496874721	-0.121444209284849	0.00517868228749853	-0.0832996649897099	0.215164705860846	-0.244664234564905	-0.0107330872902256	0.178161680961696	0.0854766456222452
"X5"	-0.0562410576892895	0.239945137918841	0.0507357406849761	-0.00170926593418283	-0.0745271320361236	-0.0624831490442099	0.214903728894499	0.116710713015796	0.189104540662272	-0.15724129100727	0.0267680338009784	0.297776520501768	0.126177488747753	0.220741188527922	0.0586342310792771	-0.0318894906642309	0.0159342903152853	-0.228736801239258	0.0613097972495594	0.0748263429961407	0.00694673382936301	0.14993558507434	-0.31028439766245	0.119835991388539	0.0210844910846771	0.0477467692882249	0.0333436675744631	-0.253228904525113	0.0728403067315857	0.190271212714105	-0.0550157766304614	0.117174847513072	-0.0802379196589981	0.0524423247279215	0.0793184205043496	0.279407979618789	-0.199311391187931	-0.138463831102124	0.0758860119894399	0.0280069828392993	-0.379900619115548
"X6"	-0.222599407524259	0.061082449991438	-0.0346747662730303	-0.0813685786991017	0.00478434725947757	-0.337840978496963	0.141379742821368	-0.0613071466150782	0.108748991987401	0.123469125394909	-0.128690734540376	-0.257759369964192	0.0232080887931318	0.0369558068154308	-0.15423489294146	-0.14360849048398	0.156627985618867	-0.41466475888535	-0.194468029491213	-0.0426245618976199	0.0982982984268185	-0.16027782958458	-0.136505593478154	-0.337428117879197	0.167339798668166	0.0728215285683093	0.195824716987794	-0.104764112238488	0.0231353751315029	-0.0583526923140105	-0.0221446393997019	0.037760500210817	0.0773425523846783	0.0688695059534559	0.0805333835629884	-0.266870833590273	-0.0821627560859814	0.131699909658194	-0.0345581442990256	-0.0531879082263639	0.108627801898301
