"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"
"feces__J401"	-0.0557613789142581	0.124519034239168	-0.172120244584035	-0.350329849401156	0.018073004996488	0.0733459616407687	-0.128179923166738	0.0626147527556925	-0.206639475507257	0.199147894785432	0.0639199924837624	-0.211809776385047	0.0934028180145254	0.153228473771602	-0.0794229943728703	-0.0851089197904648	-0.00543666165896013	0.0800656573391836	-0.122248398107625
"feces__J402"	0.153465337914865	0.155196063883007	-0.222942187647775	0.0417887209921601	0.0838128997163972	-0.322132767477399	-0.00288980454884775	-0.00276241637474651	0.0837561627855443	-0.106948577435051	0.118151413068988	-0.150330004183716	0.0989329836810146	-0.151305684678602	-0.0168275247808482	0.0408868243925242	-0.149067247619783	-0.205404676034708	-0.104050144017183
"feces__J403"	-0.406609849484454	-0.0914207749295503	-0.00143144001731352	0.00535943260266143	-0.0473533751886107	-0.183486092016159	-0.33803900531345	-0.265495910158031	-0.275203924915449	-0.105867383895756	0.101838532669889	-0.127017722579808	0.065479543742586	0.0254754851827463	0.0130160494012265	0.00876424383056862	-0.00182566057880698	-0.034333258640892	-0.00340673700036913
"feces__J404"	-0.152483317257654	0.0579215160444821	-0.262301239943491	-0.230633298268171	-0.208281265617634	-0.107181391255865	-0.0331238270868366	0.347632350338064	0.0227049061942153	0.0365669783193453	-0.281984896035444	0.0580958724838602	-0.0530329239918832	-0.102074517077952	0.183060612959342	0.107149436446957	0.137083621335992	0.0430234002020789	0.196555633999356
"feces__J405"	0.184798813301832	-0.0851050913891389	-0.0363215058709073	0.0239695255384921	-0.312390529629257	0.273399336866585	0.110496389510841	-0.0942667016187463	0.237467050414707	-0.0410733548143365	0.0973977019658283	-0.283803454179638	-0.0692565285529862	0.0148261378236243	0.126876108614142	-0.0234573792196854	-0.0862534041235058	0.190317583290212	-0.121846449963679
"feces__J406"	0.0318471165352854	0.00827241992489576	-0.141830644352927	-0.118278790492356	0.309470040633838	0.16768793536807	0.00927022439563997	0.0923075502755537	-0.0862606104288623	0.0639169491891456	0.0181383909982413	0.276458459788379	0.195089236015523	0.152376678725644	0.131295982947734	-0.132641229611568	0.122692785985943	0.0019467777116684	0.0443286505328283
"feces__J407"	-0.184676206986498	0.187374179201209	0.0127619086363374	0.120548210641251	0.0675859477157239	-0.200314756322437	-0.0238091717265114	0.111235022500643	0.434097042049952	-0.168818100007705	-0.117725967491449	-0.0205905008421696	-0.0615599938676514	0.194763879793841	0.149251914197983	-0.132899518527631	0.139406252794317	-0.0356447652417566	-0.11884969289625
"feces__J408"	-0.20114561268423	0.22443227616334	0.181229258946284	0.0539190342013807	0.0796125209124247	0.0664158972995865	-0.0506618150501714	0.0266973101793368	-0.152003172364807	-0.0614894092199145	-0.121160354873878	-0.256070641908825	-0.151681588144337	-0.0063638009176802	-0.112849339507087	-0.178233708567782	-0.0732314151304255	-0.236983845481577	0.124090425352123
"feces__J409"	0.0482763782215297	-0.139662883041065	-0.11974337046253	0.173502590518007	-0.0334024041213808	0.126155369567269	0.00720416021326656	0.103221763086983	0.0197170591631006	-0.0968824447697739	0.0729247630711831	-0.0957073295796795	-0.440303252558739	0.0202154357404489	0.0688056057056067	-0.396900180549411	0.134017807098952	-0.294859485305874	0.161159413089243
"feces__J410"	-0.131848631797358	-0.115289990561949	0.156957367962425	0.105363955580921	0.134479790671055	0.324566935560728	-0.135038588412317	0.041197297666738	-0.0176587388457841	0.105746698874796	0.0506629858600061	-0.0709676999139946	0.0811216864390923	0.20186441976201	-0.0979000097963257	0.0637499786982668	-0.160170831894234	-0.0353721846630481	0.0605557709902953
"feces__J411"	-0.0499255779924466	0.178125423824219	-0.293626646151809	0.193675473981627	0.124999094655863	0.29129160366388	-0.0703981220520343	-0.120109049636747	0.00524022119313966	-0.226934119783132	-0.243122095191476	-0.0244525711489397	0.0994327864342611	0.0203090087206942	-0.384242318933934	-0.0534305807390209	0.0310662176223279	0.0977183515203313	0.00713086374021507
"feces__J412"	0.111744931012739	0.0647752237209922	-0.0638657522515639	0.149676661934732	-0.0261333050877716	0.042594187791418	0.0612976673000756	-0.166557139773937	0.0252175635607024	0.0771014068814638	-0.150257328116102	-0.0346954915939821	-0.0669445107679494	0.216602497895137	0.0579532353504511	0.0699508006569284	-0.0438257451523185	0.4306540374685	0.306365202261092
