Rat ID	NOIC 2min discrimination index
J401	57.57575758
J402	
J403	
J404	
J405	27.5862069
J406	62.06896552
J407	61.9047619
J408	45.83333333
J409	25
J410	33.33333333
J411	62.96296296
J412	33.33333333
J413	46.875
J414	0
J415	6.666666667
J416	35
J417	34.61538462
J418	33.33333333
J419	
J420	48
J421	
J422	28.57142857
J423	47.05882353
J424	47.82608696
J425	50
J426	27.02702703
J427	57.89473684
J428	8.695652174
J429	12.5
J430	16.66666667
J431	
J432	38.0952381
J433	
J434	42.10526316
J435	46.15384615
J436	40
J437	45
J438	25.92592593
J439	32.43243243
J440	38.0952381
J441	
J442	
