Rat ID	Group	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW	BW
J401	35F:65G	76.6	94	107.8	121.5	141.9	154.9	166	179.5	191.1	202.3	218.1	227	233.8	250.9	256.6	260
J402	65F:35G	79.2	101.4	116.3	132.9	158.8	171.2	185.5	202.3	213.8	222.5	242.1	247.3	249.3	262.1	265.9	267.4
J403	Control	74.5	96.9	111.7	130.8	151.7	166.5	179.1	198.1	210.5	223.6	239.1	250.2	264.4	284	284.6	295
J404	50F:50G	75.3	100.2	114.3	127.4	149.3	161.6	178.5	200.1	214.8	222	246.7	254.7	263.2	286.5	291	297.2
J405	65F:35G	73.4	94.3	111.1	126.5	144.5	167.1	168.5	186.6	201.8	210.1	233.8	245	252.8	269	283.9	278.4
J406	50F:50G	70.6	94.5	109.9	122.4	143.8	157.3	172.4	192.1	204.1	214.5	233.3	241.3	254	270	278.3	280.6
J407	Control	64.1	87.2	103.1	118.2	140.8	155.1	168.7	187.7	195.2	207.1	223.2	236.8	245.4	258.7	264.2	268.3
J408	35F:65G	70.1	91.2	104.2	119.5	135.7	150.5	163.1	176.4	191.6	196	220.6	237	244.3	260.6	266.1	272.3
J409	35F:65G	70.6	98.7	112.7	130.5	156.2	173.2	181.9	199.3	219.3	222	241.2	254.8	263.1	277.9	294.7	297.1
J410	Control	71.6	93.3	108.4	124.2	146.8	163.1	175	196.5	207.5	219.9	238.3	251	264.3	285.5	291.1	302.5
J411	50F:50G	65.6	86.2	102.6	116.6	138.6	152.2	165.8	188	199.1	210	229.1	237	248.5	265.6	271.7	277.8
J412	65F:35G	71.9	94.6	109	129.7	142.1	157.9	169.9	187.3	202.9	215.2	237.2	250.9	271.3	285.9	295.7	301.1
J413	50F:50G	76.6	101.8	119.1	134.1	155.6	175.3	189.7	213.6	229	240.2	261.8	274.8	286	305.3	312.1	319.3
J414	35F:65G	73.9	92.6	111.3	127.6	148.8	163.1	181.6	198.1	215	223.8	249.8	259.5	271.2	294.4	296	306.6
J415	65F:35G	77.3	98.9	114	129.6	151.5	161.2	178.2	194.6	212	218.1	240.4	245.9	254.9	269.8	279.1	278.2
J416	Control	72.4	93.5	109.4	127.4	150.6	165	180.1	198.2	212.7	223.5	244.9	259.1	273.1	288.4	299.3	304.6
J417	Control	75.8	98.6	114	132.3	154.3	169.2	184.2	198.1	213.2	226.5	244.5	255.6	269.3	287.1	290.7	293.4
J418	65F:35G	72.9	96.3	110.8	134.4	155.8	165.4	177.8	198.3	211.2	219.5	236.6	250.2	264.8	280.2	280.1	297.1
J419	35F:65G	71.3	95.4	107.1	120.3	138.7	152.2	164.4	182	197.8	210.3	234.7	241.3	256.1	271.5	278.6	283.1
J420	50F:50G	67	86.6	103.9	117	137.1	155.3	170.3	187.5	198.4	206.2	229.2	243	257	273.4	277.5	281.5
J421	65F:35G	71.3	91.4	105.2	119	145.2	159.4	168.7	184.7	197.7	212.4	232.3	241	255.3	271.3	280.8	283.8
J422	50F:50G	77.1	96.1	111.3	127.6	153	164	177.2	198.5	211.7	218.3	243	252.1	265.9	277.3	287.3	288.6
J423	Control	83.4	110.4	126.9	143.4	169.7	183.8	194.2	218.9	232.1	243.7	267.5	278.4	290.8	207.9	321.3	323.5
J424	35F:65G	74.1	100.8	118.3	128.2	146.1	159.7	168.3	189.6	202.9	215.8	234.4	245	254.8	271.8	280.8	283.9
J425	35F:65G	67.9	92	104.8	122.7	145.2	160.8	169.3	184.9	206.2	210.6	235.6	254	267	288.8	303.6	300.9
J426	Control	77.4	103.6	117.4	136.4	158.6	175	189	206.1	222.8	235	252.3	268	274.5	292	309.6	308.5
J427	50F:50G	78.8	106.3	124.9	138.5	157.5	173.6	185.4	208.6	222.7	237.7	256.7	265.6	277.5	297.8	300.3	306.7
J428	65F:35G	69.9	97.2	110.6	128.1	148.5	165.1	176.6	197.8	212.6	224.2	242.7	260.2	271.4	285.9	303.1	310.2
J429	50F:50G	67.3	89.8	104.4	116.7	141.3	156.5	172.7	192.3	201.8	212.3	232.2	244.3	255.7	275.5	289	290.3
J430	35F:65G	64.3	84.2	94.6	110.2	127.5	138.2	153	169.9	180.6	192.7	210.5	224.1	233.9	248	259.6	260.2
J431	65F:35G	71.6	93.4	108.6	125.9	148.6	162.2	175.5	195.8	212	218.8	238.2	249.5	259	276.5	285.2	291.2
J432	Control	70	91.7	104.9	123.9	146.9	162.5	176.7	197.1	211.4	225.9	241.8	256	268	286.9	244.5	294.4
J433	Control	68	91.9	107.1	121.8	143.3	158.1	170.5	188.9	202.8	215.3	236.5	247.1	257.8	272.9	282.9	284.4
J434	65F:35G	76.3	97.7	114.7	133.6	155.6	173	188.5	208.6	223.4	238.4	257	270.2	284.6	305.9	309.4	314.2
J435	35F:65G	73.5	94.1	108.7	123.5	143.9	156.1	173	192.9	203.5	215.1	232.9	244.3	256.5	266.5	272.7	278.7
J436	50F:50G	78.2	99	116.3	128.3	140.3	153.6	162.1	182.7	195.6	210.2	228.6	231.8	246.5	256	262.6	268.1
J437	50F:50G	69.9	89.1	105	118.1	139.3	153.5	164.6	184.8	197.6	210.2	227.3	237.2	245.1	261.1	270.8	270.8
J438	65F:35G	80.7	103.3	112.9	128	150.3	166.4	182.4	200.7	215.5	227.5	248.3	261.2	267.8	285.5	296.3	298.2
J439	35F:65G	69.6	93.4	110.9	126.4	149.1	162.9	176.4	193.5	213.1	226.8	245.2	263.4	275	295.1	308.9	311.3
