Rat ID	Group	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)	24h Food intake (kcal)
J401	35F:65G	29.232	38.472	37.8	46.704	48.552	48.72	42.672	43.008	47.04	48	39.816	45.192	47.04	41.328	39.648	36.288
J402	65F:35G	30.016	37.632	41.664	52.08	48.72	48.72	44.688	44.352	44.184	42.56	39.816	43.68	41.104	40.32	36.456	32.368
J403	Control	44.352	47.544	53.76	60.368	68.04	66.864	68.992	72.912	80.136	75.376	72.408	75.6	81.088	78.792	78.456	73.36
J404	50F:50G	31.472	37.632	36.12	46.928	45.024	49.728	48.048	46.536	44.184	53.424	35.112	46.368	46.48	46.032	45.528	39.312
J405	65F:35G	41.44	37.632	38.304	50.96	52.584	46.536	46.256	45.528	51.576	79.072	40.488	42.504	51.296	48.552	37.464	35.616
J406	50F:50G	31.36	38.304	34.104	50.4	52.752	54.6	51.408	50.232	54.432		47.712	49.896	55.216	56.952	52.752	44.576
J407	Control	44.8	52.248	47.376	61.152	67.368	66.528	75.376	65.184	74.088	76.496	78.96	67.368	75.6	79.464	73.248	67.536
J408	35F:65G	32.368	37.632	34.272	41.104	50.4	45.696	40.768	40.152	43.512	50.288	46.872	52.416	53.424	43.848	37.296	39.984
J409	35F:65G	36.288	42.84	40.992	57.456	50.4	57.792	51.856	39.816	46.2	40.768	44.856	51.576	48.944	2.352	48.048	43.792
J410	Control	47.152	50.064	48.216	57.456	61.488	64.512	67.648	60.816	74.424	75	71.568	77.28	79.52	64.512	82.488	74.368
J411	50F:50G	28	34.104	28.224	46.816	53.256	52.584	45.696	42.168	45.528	37.968	37.968	41.832	44.128	37.968	40.32	36.736
J412	65F:35G	36.736	37.8	36.12	43.008	48.048	48.72	43.456	48.048	48.216	54.208	43.512	45.864	51.968	47.544	43.512	41.664
J413	50F:50G	40.656	40.488	37.968	55.104	64.008	58.8	52.752	52.416	55.272	58.688	51.072	51.072	53.536	48.216	50.568	46.144
J414	35F:65G	27.44	44.856	40.488	49.616	48.048	53.76	50.4	49.224	51.576	54.096	48.384	52.752	67.536	48.384	47.712	44.912
