Rat ID	Group	RatWeight	FoodOut	SugarWaterOut	FoodIntake	SolutionIntake
J401	35F:65G	316.8	1099.5	366.6	22.4	163.1
J402	65F:35G	314.4	1070	415.9	28.3	98.4
J403	Control	352.3	1117.1	451.7	51.4	3.8
J404	50F:50G	365.2	1042.7	334.3	23	170.3
J405	65F:35G	334.8	1072.4	313.7	20.9	199.3
J406	50F:50G	333.6	1021	341.1	28.9	158.6
J407	Control	312.5	1041.8	441.3	38.9	37.1
J408	35F:65G	326.2	1049	258.2	22.9	212.5
J409	35F:65G	351.6	1092	264.2	24	259.1
J410	Control	363.2	1066.8	410.9	45.4	1.8
J411	50F:50G	337.9	1050.5	266.8	21.6	242.5
J412	65F:35G	357.4	1102	317.2	22.1	221.6
J413	50F:50G	395.7	1161.1	290.6	22.7	237.4
J414	35F:65G	367	1064.6	357.4	27.5	157.5
J415	65F:35G	323.6	1154.4	367.6	22.5	166.5
J416	Control	351.6	1086.1	479.6	42.7	10.7
J417	Control	341.2	1072.5	459.4	44.6	13.2
J418	65F:35G	345.9	1097.8	397	26.8	126.6
J419	35F:65G	342.6	1016.8	381.2	28.3	135.1
J420	50F:50G	341.6	1013.4	355.2	26.5	168.6
J421	65F:35G	346.7	992.2	444.8	32.8	111.4
J422	50F:50G	347.7	1020.4	217.4	20.7	285.7
J423	Control	380.8	958.3	442.1	50.1	15.5
J424	35F:65G	320.7	1013.6	415.3	26	95.9
J425	35F:65G	371.8	1092.3	317.4	24.6	213.6
J426	Control	351.6	1040.3	464.6	43.9	34.8
J427	50F:50G	380.2	978.2	292.1	25.8	214.1
J428	65F:35G	368.6	1056.2	321.2	28.3	187.6
J429	50F:50G	336.7	986.2	324	20.4	194.4
J430	35F:65G	309.8	992	251.3	16.7	278.9
J431	65F:35G	341.8	997	365.9	24	155.9
J432	Control	342.5	956.9	439.7	44.6	55.4
J433	Control	328.4	959.7	477.4	44.7	21.9
J434	65F:35G	385.8	1040.3	254.7	23.2	288.8
J435	35F:65G	327.7	1068.2	223.8	18.2	282.5
J436	50F:50G	306.5	1053.7	241.2	17.9	266.6
J437	50F:50G	316	1045.9	334.1	24.5	188.6
J438	65F:35G	370.8	995.6	236.4	24.2	287.8
J439	35F:65G	349.8	1154.2	224.5	23.2	274.4
J440	Control	366.2	995.5	451.8	50.1	52
J441	35F:65G	351.6	1010.6	246.1	17.9	270.9
J442	65F:35G	344.5	993	353.7	23.4	190.8
