Rat ID	Group	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)	24h Sugar Intake (kcal)
J401	35F:65G	19.0957	19.98895	19.8897	15.9991	16.77325	17.9444	23.7009	23.56195	24.9316	31.4027	32.33565	26.89675	36.27256667	37.5165	33.348	40.5337
J402	65F:35G	20.97483333	18.08335	21.49755	28.99423333	24.7728	29.15965	34.98893333	30.23155	35.23375	40.12346667	42.61795	22.3511	43.4318	16.61445	31.06525	40.79836667
J403	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J404	50F:50G	14.4905	14.2523	17.52755	25.47416667	26.18215	26.2814	34.79043333	31.93865	37.6753	38.1517	34.51915	24.0185	39.43533333	28.2664	34.3802	43.16713333
J405	65F:35G	8.919266667	18.3017	18.3414	15.7609	22.49005	21.0013	24.2964	32.85175	29.04055	38.53546667	35.4918	30.82705	32.05113333	36.6431	38.44945	42.80983333
J406	50F:50G	15.21833333	18.5796	20.3661	17.57386667	17.468	16.7534	20.9616	19.55225	14.58975	20.41903333	22.0732	23.5024	22.0335	21.0807	21.10055	24.19053333
J407	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J408	35F:65G	14.4905	17.56725	21.77545	27.49886667	25.98365	26.77765	30.2911	40.19625	30.2117	39.25006667	39.303	18.87735	34.90953333	43	45.07935	45.6947
J409	35F:65G	19.74413333	21.2395	32.81205	28.68986667	39.36255	31.18435	35.91526667	55.1433	44.0273	44.45076667	37.89365	22.629	42.14816667	30	29.7353	45.4962
J410	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J411	50F:50G	17.7856	25.2889	29.00085	25.4874	18.9766	20.62415	29.19273333	30.7278	37.9135	34.35373333	29.9338	30.1323	41.89673333	49.0692	37.3577	48.53986667
J412	65F:35G	26.85043333	20.74325	25.30875	34.52576667	36.4843	29.51695	35.8094	28.16715	35.90865	40.891	44.9007	46.1314	42.45253333	54.60735	47.4812	44.71543333
J413	50F:50G	10.14996667	15.8403	17.071	50.1411	17.13055	20.2867	31.61443333	34.28095	34.8566	39.4618	29.7353	29.35815	36.51076667	46.66735	25.46755	46.62103333
J414	35F:65G	19.78383333	13.1407	15.34405	25.59326667	25.6462	23.9391	28.05466667	25.7653	32.951	29.4574	30.90645	28.16715	24.54783333	37.0004	40.35505	41.7644
J415	65F:35G	10.33523333	10.77855	2.4614	20.3661	17.9047	21.5968	19.78383333	27.7106	27.2342	24.5743	36.62325	36.2461	23.5818	34.7772	35.31315	39.07803333
J416	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J417	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J418	65F:35G	23.8597	24.91175	22.5496	29.47063333	16.97175	22.5496	29.4574	33.1495	36.18655	28.65016667	17.88485	38.01275	40.79836667	43.05465	25.6859	37.715
J419	35F:65G	16.50196667	14.0141	15.1257	16.48873333	17.48785	18.40095	25.47416667	26.42035	30.86675	29.8941	26.49975	30.0132	29.56326667	31.5615	32.01805	32.68633333
J420	50F:50G	18.36786667	18.4605	17.44815	21.30566667	20.6043	25.11025	31.0851	39.48165	34.24125	39.2633	42.61795	42.7172	39.83233333	45.47635	26.34095	43.53766667
J421	65F:35G	11.84383333	12.04895	16.9122	37.49003333	23.4627	27.09525	27.80323333	30.62855	31.6012	38.83983333	33.7053	34.2214	33.6656	31.42255	22.232	24.2567
J422	50F:50G	24.7331	25.408	22.1526	14.98013333	31.38285	32.41505	34.76396667	52.7216	30.8866	46.7666	56.55265	49.7441	38.906		23.5024	45.90643333
J423	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J424	35F:65G	16.1976	18.28185	17.6665	23.9391	24.27655	24.39565	25.15656667	26.97615	25.14995	31.9188	29.775	30.4102	35.35946667	32.45475	33.32815	35.94173333
J425	35F:65G	14.74193333	20.26685	28.6634	53.70086667	40.5734	25.26905	31.9188	43.273	24.27655	46.9254	48.831	55.00435	44.464	40	35.4124	45.23153333
J426	Control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
