Rat ID	Group	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal	24h Total Kcal
J401	35F:65G	48.3277	58.46095	57.6897	62.7031	65.32525	66.6644	66.3729	66.56995	71.9716	79.4027	72.15165	72.08875	83.31256667	78.8445	72.996	76.8217
J402	65F:35G	50.99083333	55.71535	63.16155	81.07423333	73.4928	77.87965	79.67693333	74.58355	79.41775	82.68346667	82.43395	66.0311	84.5358	56.93445	67.52125	73.16636667
J403	Control	44.352	47.544	53.76	60.368	68.04	66.864	68.992	72.912	80.136	75.376	72.408	75.6	81.088	78.792	78.456	73.36
J404	50F:50G	45.9625	51.8843	53.64755	72.40216667	71.20615	76.0094	82.83843333	78.47465	81.8593	82	69.63115	70.3865	85.91533333	74.2984	79.9082	82.47913333
J405	65F:35G	50.35926667	55.9337	56.6454	66.7209	75.07405	67.5373	70.5524	78.37975	80.61655	81	75.9798	73.33105	83.34713333	85.1951	75.91345	78.42583333
J406	50F:50G	46.57833333	56.8836	54.4701	67.97386667	70.22	71.3534	72.3696	69.78425	69.02175	70	69.7852	73.3984	77.2495	78.0327	73.85255	68.76653333
J407	Control	44.8	52.248	47.376	61.152	67.368	66.528	75.376	65.184	74.088	76.496	78.96	67.368	75.6	79.464	73.248	67.536
J408	35F:65G	46.8585	55.19925	56.04745	68.60286667	76.38365	72.47365	71.0591	80.34825	73.7237	89.53806667	86.175	71.29335	88.33353333	86.848	82.37535	85.6787
J409	35F:65G	56.03213333	64.0795	73.80405	86.14586667	89.76255	88.97635	87.77126667	94.9593	90.2273	85.21876667	82.74965	74.205	91.09216667	32.352	77.7833	89.2882
J410	Control	47.152	50.064	48.216	57.456	61.488	64.512	67.648	60.816	74.424	75	71.568	77.28	79.52	64.512	82.488	74.368
J411	50F:50G	45.7856	59.3929	57.22485	72.3034	72.2326	73.20815	74.88873333	72.8958	83.4415	72.32173333	67.9018	71.9643	86.02473333	87.0372	77.6777	85.27586667
J412	65F:35G	63.58643333	58.54325	61.42875	77.53376667	84.5323	78.23695	79.2654	76.21515	84.12465	95.099	88.4127	91.9954	94.42053333	102.15135	90.9932	86.37943333
J413	50F:50G	50.80596667	56.3283	55.039	105.2451	81.13855	79.0867	84.36643333	86.69695	90.1286	80	80.8073	80.43015	90.04676667	94.88335	76.03555	92.76503333
J414	35F:65G	47.22383333	57.9967	55.83205	75.20926667	73.6942	77.6991	78.45466667	74.9893	84.527	83.5534	79.29045	80.91915	92.08383333	85.3844	88.06705	86.6764
J415	65F:35G	54.68723333	55.46655	42.6134	71.7741	66.6247	73.8448	74.32783333	63.3266	78.8102	44.9583	78.28725	79.2541	81.0378	81.1452	74.62515	74.35803333
J416	Control	38.192	59.304	51.24	64.96	69.888	69.552	74.48	73.752	74.256	77.28	76.776	80.64	80.976	86.52	78.288	75.04
J417	Control	46.592	50.4	52.08	64.288	68.376	72.576	68.32		77.952	74.144	74.424	80.808	86.576	86.856	79.296	73.248
J418	65F:35G	54.0997	62.20775	65.3896	75.95063333	72.91575	72.1096	77.3934	77.8375	86.25055	76.36216667	70.13285	81.69275	92.87836667	90.26265	80.6219	76.691
J419	35F:65G	48.64596667	52.8221	55.7817	63.75273333	64.02385	68.46495	69.71416667	69.26035	79.41875		67.32375	85.4532	86.12326667	82.9695	81.24205	71.55033333
J420	50F:50G	37.74386667	66.8445	56.76015	71.81766667	73.3563	76.85425	78.3491	81.31365	84.47325		84.61795	85.0532	93.81633333	92.68435	75.73295	85.08966667
J421	65F:35G	49.47583333	53.54495	53.3682	83.97003333	78.0627	72.79125	71.03523333	71.45255	78.4732	83.97583333	77.5533	79.7494	87.3136	80.98255	69.608	68.6087
J422	50F:50G	47.0211	58.336	49.5366	71.76413333	76.57485	78.11105	80.01196667	92.3696	77.5906	82.6066	88.47265	95.4401	81.802	38.808	67.0144	83.31443333
J423	Control	56.672	55.608	58.128	71.68	72.576	76.272	81.648	77.448	84.336	76.944	82.32	86.856	93.296		85.512	80.752
J424	35F:65G	52.1496	62.80185	56.1385	68.8511	71.65255	70.09165	73.87656667	73.68015	80.08595	80.0788	83.703	79.2982	82.39946667	84.70275	75.66415	72.11773333
J425	35F:65G	48.22993333	54.53885	63.9434	96.82086667	86.4374	72.47705	77.0548	87.457	69.63655		94.863	97.84435	96.992	87.208	82.7884	81.40753333
J426	Control	52.192	48.216	55.944	65.072	67.536	68.88	66.864	72.912	75.768	84.336	75.936	69.384	77.168		106.176	73.472
