Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_EnergyIntake	EnergyIntakeInteraction	EnergyIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_EnergyIntake_Adj	EnergyIntakeInteraction_Adj	EnergyIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	EnergyIntakeSugarEstimate	EnergyIntakeSugarInteractionEstimate
Adlercreutzia	0.951105659988157	0.342343107410849	0.337561797071609	0.0621410984926861	-0.614255379643173	0.543677223347086	0.95618926056311	0.152014076908434	0.55932818438067	0.955142603072364	0.0457248046438843	0.676910821706159	0.951105659988157	0.775849772237499	0.95618926056311	0.779409331018759	0.969126964902366	0.955142603072364	0.266611912752308	0.918664686601216	-0.00644959477234192	0.00659553135381407	-0.0404056482439143	0.0481143627330539
Alistipes	0.000414113961476873	2.81171092970517	2.27474412582184	4.94864900871095	1.19990970612232	0.239564897324263	6.15641385714669e-08	0.0211404803870503	0.378480630689039	1.83264337047225e-07	0.4527159310488	0.226988446832044	0.00196704131701515	0.606897739888132	2.33943726571574e-06	0.356364082807843	0.969126964902366	6.96404480779456e-06	0.813337726718124	0.84323103176484	-0.00970318204688699	0.0100495549748298	-0.0256405172287718	0.0176709420056034
Anaeroplasma	0.833875303874601	0.727165560992384	0.756917449603803	-0.213012790896761	0.430970989263231	0.66957039399641	0.845278289145862	0.572816830318374	0.507738456507527	0.838008637591691	0.0631449267044941	0.351477952879608	0.898094353623415	0.866469648718112	0.907675239118834	0.90332618472748	0.969126964902366	0.908426335853659	0.266611912752308	0.84323103176484	-0.00169733324870084	0.00449476758494869	-0.0411474770349319	0.0763148548852019
Anaerotruncus	0.682535283201725	1.4503248033716	1.50802582920997	-0.417437469055501	1.08763019484679	0.285419653702939	0.6545804175708	0.0281340065374613	0.470180403363197	0.653461914087748	0.0572488968932492	0.146083021128585	0.785949720050471	0.677871677544481	0.753759268717891	0.356364082807843	0.969126964902366	0.752471295010135	0.266611912752308	0.84323103176484	-0.0144209122149871	0.0152413501610323	-0.0293246503159538	0.0689676619044492
Bacteroides	0.000155671395894132	3.31532604554238	3.11749675300793	4.75667608021384	0.00312054601064347	0.997530827268461	0.000117042570613178	0.164086174951318	0.853971972991659	7.25734708218781e-05	0.043433345519808	0.419270660642797	0.00142048396485283	0.997530827268461	0.000889523536660152	0.779409331018759	0.973310964446246	0.000551558378246273	0.266611912752308	0.84323103176484	0.00298266885761344	-0.00341145248950158	0.0149389176257579	-0.0256149347595071
Barnesiella	0.156195182588189	3.04512437639314	2.90642149760186	1.5214060451714	0.348822891304856	0.729658651552095	0.0595027574395525	0.623064476397606	0.584210409891435	0.0607142062763145	0.713026318558862	0.857145507677583	0.327080444190914	0.866469648718112	0.14707890821781	0.90332618472748	0.969126964902366	0.152791314682874	0.995676356371354	0.957478373812089	-0.000740585379627851	0.0018464124886304	-0.00706447260597937	0.00733428029556366
Bifidobacterium	0.000106541172928099	1.62508904026992	0.43154800831448	4.68314660992575	1.46609877830169	0.153025630170643	0.000475385720155686	0.151845710536788	0.927263517652591	0.000455826889269426	0.127441604811213	0.885829062716545	0.00134952152375592	0.484581162207035	0.00258066533798801	0.779409331018759	0.973310964446246	0.0024744888274626	0.440252816620555	0.957478373812089	-0.0190774263006586	0.0238244215450281	-0.105889144000972	0.133689221296484
Butyricicoccus	0.130708466158123	1.62700100857379	1.88716100328199	-1.61920702207411	-0.722600520595738	0.475521206018607	0.0670873470326387	0.484045064786353	0.241794668340082	0.0643331851296311	0.233777150255828	0.259531272170395	0.292171865529923	0.775849772237499	0.149959952190604	0.90332618472748	0.969126964902366	0.152791314682874	0.592235447314764	0.84323103176484	-0.00745383041171902	0.00508988476571674	-0.0156520462490585	0.045571765795319
Butyricimonas	0.0951898708972532	1.68860664968228	1.48130582786294	1.8117058592827	-0.561828861583145	0.578406332332467	0.0397890308639772	0.539104063227857	0.721558407258256	0.0409453647984666	0.93623950859898	0.844849988289781	0.241147672939708	0.784980022451205	0.107998798059367	0.90332618472748	0.969126964902366	0.11610169739321	0.995676356371354	0.957478373812089	0.00329057508610533	-0.00314907549902994	-0.00393566652586323	0.00217602879899918
Clostridium_IV	0.407369695599377	1.7405424739683	1.6556710491603	0.849486340952801	-0.668161982543625	0.509138635358097	0.443229327357847	0.935602617426866	0.493973293522786	0.444590835123101	0.870054114769748	0.637641959858297	0.533794773544011	0.775849772237499	0.561423814653273	0.964515830655818	0.969126964902366	0.563148391155928	0.995676356371354	0.918664686601216	-0.00188460162915872	0.000464902479595718	0.00996714498816977	-0.0049911061339369
Clostridium_XI	0.168985339471265	2.03830526353375	1.84591676494224	1.45598055367654	1.6114087656076	0.117563365415603	0.122039673609135	0.546337092376409	0.724694450817891	0.121602152853071	0.455099940939311	0.887644365345284	0.327080444190914	0.477155484507412	0.244079347218269	0.90332618472748	0.969126964902366	0.231044090420834	0.813337726718124	0.957478373812089	-0.0023299939776858	0.00386404792149052	-0.0210776488371534	0.0252914557582565
Clostridium_XlVa	0.197969742536606	0.951418612587714	1.18393199292831	-1.3577028513405	-0.0382393466012221	0.969750185448115	0.13701494114653	0.24639669174663	0.684746150451255	0.139851708117914	0.470879736521019	0.510376677120824	0.327080444190914	0.995959649919685	0.250230457007368	0.90332618472748	0.969126964902366	0.253064995641939	0.813337726718124	0.84323103176484	-0.00899712726111735	0.00940341749172797	-0.0355010040951631	0.0309778697281242
Clostridium_XlVb	0.00210492998475063	1.54411605582084	1.1849636425679	3.63637359038257	1.8371161374647	0.0761176233751024	0.000924807486590224	0.0217833061918865	0.689444811284978	0.00120047587886953	0.0628076026579527	0.991328412601635	0.00727157631095672	0.477155484507412	0.00436663207119229	0.356364082807843	0.969126964902366	0.00456180833970422	0.266611912752308	0.991328412601635	-0.0110900129595886	0.0124796470475489	-0.040917012318526	0.0542334546317866
Clostridium_sensu_stricto	0.000261668098788679	2.27090555636503	1.05600019719325	4.81827350988419	1.75183917162852	0.0900196471734931	8.76951140969021e-06	0.0576653471213045	0.714654383648953	7.7337914055482e-06	0.0582671737539207	0.372923119262815	0.00142048396485283	0.477155484507412	0.000111080477856076	0.547820797652392	0.969126964902366	9.79613578036105e-05	0.266611912752308	0.84323103176484	-0.0216695915073345	0.0241793027317479	-0.120352778244739	0.126498505259844
Desulfovibrio	0.438757074560704	1.07130767179663	0.896877442297267	0.801862699439475	-0.612072194979014	0.545101433606837	0.328738355205437	0.575445332781486	0.221003583486907	0.339171657649772	0.841443137095337	0.728905976993057	0.555758961110225	0.775849772237499	0.462668796215059	0.90332618472748	0.969126964902366	0.477352703358939	0.995676356371354	0.955118176749522	-0.00863933886961933	0.00519741634442125	-0.015023339537425	0.0100116992005261
Dorea	0.381956896425494	0.738699155740192	0.59637502925796	0.900459623869993	-0.825483665562275	0.415613398310912	0.385279771679931	0.585577340771066	0.87046120509311	0.372725271396674	0.425413668649231	0.190655099839507	0.518370073720313	0.76890723626014	0.517574613437951	0.90332618472748	0.973310964446246	0.505841439752629	0.813337726718124	0.84323103176484	0.00330683877976642	-0.00465017278904341	0.0514133133749333	-0.0350668450714998
Enterorhabdus	0.178633398848904	0.366811939756593	0.476830566289583	-1.39520134377903	0.602663108245367	0.551261680274012	0.244112865171115	0.841587109038193	0.94769751801345	0.232060110582936	0.192726830140426	0.569118138593797	0.327080444190914	0.775849772237499	0.377428840637336	0.964515830655818	0.973310964446246	0.350327632962825	0.523115681809728	0.894744388841093	-0.000683433351495219	0.000976521234987995	-0.0187202794849326	0.0331359351961343
Escherichia_Shigella	3.63759424759227e-06	1.13543530501913	0.319317255681196	5.66975028190214	-1.23654731103503	0.225848796904614	0.000234412642593644	0.641837025990578	0.890132880245356	0.000124578951683857	0.94691565435791	0.0449541370488912	6.91142907042532e-05	0.606897739888132	0.00148461340309308	0.90332618472748	0.973310964446246	0.000789000027331092	0.995676356371354	0.569419069285955	-0.00349894940644778	0.00491521483080027	-0.04982929223764	0.00353084234315447
Flavonifractor	0.231518196573242	2.57525362938544	2.68585181827665	-1.24311613259128	-1.52343086144949	0.138123956041619	0.248308447787721	0.964515830655818	0.372169114801254	0.239697854132459	0.881558108156036	0.140539605737272	0.351907658791328	0.477155484507412	0.377428840637336	0.964515830655818	0.969126964902366	0.350327632962825	0.995676356371354	0.84323103176484	-0.00150867851546765	-0.000220437046179533	0.019482702462817	-0.00383101328509587
Hallella	0.000679729855986203	0.536840249318315	0.981765879858397	-4.07602521012705	-0.854047606301392	0.399847117282688	0.00103420233265081	0.864951883160749	0.837461524751044	0.00100332313995807	0.95754198064973	0.588647624237561	0.00286997050305286	0.76890723626014	0.00436663207119229	0.964515830655818	0.973310964446246	0.00456180833970422	0.995676356371354	0.894744388841093	-0.00143565475120135	0.00111866584394277	-0.00672226638308679	-0.00184512646726227
