Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_FoodIntake	FoodIntakeInteraction	FoodIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_FoodIntake_Adj	FoodIntakeInteraction_Adj	FoodIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	FoodIntakeSugarEstimate	FoodIntakeSugarInteractionEstimate
Alphaproteobacteria	0.0669499257194164	2.33244377703337	2.10385453152767	1.9996796480153	0.21622188632397	0.830278324992222	0.029245998517607	0.919708000063531	0.0789788124734298	0.0287727254547094	0.316172130331502	0.122365145651161	0.137286442236907	0.944949569165816	0.0668479966116732	0.969315797747699	0.421220333191626	0.0657662296107644	0.752394163205942	0.391568466083716	0.00405448459941694	-0.000534229608118033	0.0022595937685054	-0.0281781586244596
Bacilli	0.000174399163100232	2.7521615446979	2.34034665380513	4.87872519253587	2.13705209238399	0.0408641307894932	4.00304037487426e-05	0.589782176822389	0.934669944173683	1.6593576709335e-05	0.0462166840739412	0.353576732857358	0.000697596652400927	0.653826092631892	0.000320243229989941	0.969315797747699	0.941815664027171	0.00013274861367468	0.231828310195421	0.616563994991306	-0.00192957442361484	0.00251593764823093	-0.026369655320765	0.047497018383729
Lentisphaeria	4.69443299845582e-05	0.417430950484528	0.0569241372802003	4.56420089779472	0.0122352844229993	0.990318904980534	0.007783375382836	0.961577664165444	0.330747024799905	0.00812299670397827	0.779801076657979	0.514788608984969	0.000375554639876465	0.990318904980534	0.031133501531344	0.969315797747699	0.661494049599809	0.0324919868159131	0.891201230466262	0.686384811979959	0.00277579604822828	-0.000324633043411371	0.00257111627274111	0.0100231132592746
TM7_3	0.332100727463381	1.13085082347671	0.952767081715446	1.00716347415516	-0.765169565352034	0.450148526287813	0.279423895141772	0.688066174318736	0.419506642866948	0.235758474653202	0.00730843593247377	0.385352496869566	0.442800969951174	0.903674512396262	0.372565193522363	0.969315797747699	0.745789587319018	0.322510767481437	0.11693497491958	0.616563994991306	-0.000197070270349368	0.00342633919417329	-0.0714528122344103	0.115581277041874
Betaproteobacteria	0.0170833379074509	2.39560880162757	1.98088839100502	2.63054065054773	-0.41961594657296	0.677755884297196	0.0233082988820937	0.969315797747699	0.318363925467962	0.0181375719039547	0.775159075763244	0.0402326101197207	0.0546666813038428	0.903674512396262	0.0621554636855833	0.969315797747699	0.661494049599809	0.0483668584105457	0.891201230466262	0.21457392063851	0.00381265558496408	-0.00035451765189888	-0.0324701450279582	-0.0133259494432257
Deltaproteobacteria	0.485094337960565	1.77426522697833	1.87754285849365	-0.717720984300917	-0.285753667599489	0.777030645670911	0.445299457600604	0.391609563809062	0.277595181745595	0.445043936704392	0.3291724464026	0.316000251601506	0.597039185182233	0.944949569165816	0.548060870893051	0.969315797747699	0.661494049599809	0.547746383636175	0.752394163205942	0.616563994991306	-0.00792030102936357	0.00605521529506979	-0.0112407701650717	0.0364882254687724
Clostridia	0.167671612845012	3.89327985413784	3.94450279591011	-1.43723179230217	-0.476789726983912	0.636966652433161	0.193961792069885	0.509056767473108	0.0772296742300788	0.213874200081259	0.700131804167344	0.989576559905895	0.243885982320017	0.903674512396262	0.344820963679796	0.969315797747699	0.421220333191626	0.322510767481437	0.891201230466262	0.989576559905895	-0.00250732005097405	0.00134748370526469	-0.00319816753618626	0.00433731205172849
Mollicutes	0.820605197142736	0.709383380260378	0.739745543954012	-0.23016311236641	0.563412280647309	0.57734154679244	0.835958907707596	0.556787438928583	0.305799022794823	0.828567157820915	0.0579570775488553	0.261397307870014	0.820605197142736	0.903674512396262	0.835958907707596	0.969315797747699	0.661494049599809	0.828567157820915	0.231828310195421	0.616563994991306	-0.000715513267576285	0.00450538997993537	-0.0375610750885581	0.0750963545193297
Bacteroidia	0.611189636718022	4.02661563861315	4.0414189465845	-0.517048507759543	0.460978378046429	0.64813876326596	0.648127911693344	0.349610689736615	0.26535390723057	0.656516657817726	0.75696672521957	0.82487133041969	0.655201823905751	0.903674512396262	0.691336439139567	0.969315797747699	0.661494049599809	0.700284435005575	0.891201230466262	0.942710091908217	0.00203336250476462	-0.00159032106953461	0.00301178540451282	-0.00283943967025883
Unclassified	0.0912596259403759	3.04690130392737	2.98556301744992	1.74180084904053	0.144732290270673	0.885890221092953	0.23101273534101	0.761492012412891	0.789503645490905	0.231378300681835	0.892683395912082	0.7704334540876	0.162239335005113	0.944949569165816	0.369620376545617	0.969315797747699	0.941815664027171	0.322510767481437	0.932630764402271	0.942710091908217	0.000931759554701668	-0.00080389507410012	0.00318629968653606	-0.00188928783749847
Deferribacteres	0.0357038150270792	1.01024422851402	1.48412834284568	-2.33240898943484	-0.757958355109167	0.454389175788644	0.0173649326890825	0.374324774398339	0.57808258016461	0.0167718489267911	0.44280043928132	0.329470492267261	0.0952101734055444	0.903674512396262	0.0555677846050638	0.969315797747699	0.924932128263376	0.0483668584105457	0.885600878562641	0.616563994991306	-0.00949037171171597	0.00893669875125401	-0.00818226656027293	0.0405187251202844
Gammaproteobacteria	2.78066701506741e-08	1.3980727224716	0.361208339742577	7.9192639786888	-1.55477940991283	0.130486107791367	4.98068212661578e-07	0.810270162920839	0.941815664027171	1.40162216122755e-07	0.932630764402271	0.0270208954212276	4.44906722410786e-07	0.870332363295137	7.96909140258524e-06	0.969315797747699	0.941815664027171	2.24259545796408e-06	0.932630764402271	0.21457392063851	-0.00203543524696919	0.00216486171221292	-0.0412449847179024	-0.00377664677925569
Coriobacteriia	0.0686432211184537	1.56875361498329	1.42092517311089	1.91335490234094	-0.80802056795677	0.425439862556445	0.126598204352549	0.228100999780108	0.730417052988121	0.109272434834619	0.0292855243179799	0.464048665898801	0.137286442236907	0.903674512396262	0.253196408705098	0.969315797747699	0.941815664027171	0.218544869669238	0.231828310195421	0.674979877670983	-0.00433751317981559	0.00605041375420185	-0.0344121715738399	0.0563229028454177
Actinobacteria	0.000119558959888273	1.72305354447611	0.599428215894804	4.65834675743906	1.42951756937337	0.163187318117838	0.000480694718845303	0.208288816591466	0.784220251206262	0.000519899857258465	0.289244600237062	0.958515171966162	0.000637647786070788	0.870332363295137	0.00256370516717495	0.969315797747699	0.941815664027171	0.00277279923871181	0.752394163205942	0.989576559905895	-0.0145953739617762	0.019651185716945	-0.0678993794849843	0.0878348344063506
RF3	0.614251709911642	0.265519271839819	0.202591816828814	0.514351976925473	0.746715504287826	0.461047666180888	0.600203262318252	0.14323841418794	0.0667745193449789	0.601413243763518	0.5763016847752	0.0284658546660591	0.655201823905751	0.903674512396262	0.685946585506574	0.969315797747699	0.421220333191626	0.68732942144402	0.891201230466262	0.21457392063851	0.0121174610298812	-0.00928694752885053	0.0463763540522404	-0.0185728304141755
Verrucomicrobiae	0.141682862132308	0.20068241936134	0.0815417235186018	1.51457458001205	-0.552144002743968	0.584940033187826	0.26589040177557	0.872369640815522	0.910224311062529	0.241883075611078	0.546629824955015	0.0589045575485295	0.226692579411694	0.903674512396262	0.372565193522363	0.969315797747699	0.941815664027171	0.322510767481437	0.891201230466262	0.235618230194118	-0.000972003347317191	0.000890500861948666	-0.0106033448220766	-0.0168144741983621
