Name	SugarVsControl	meanSugar	meanControl	tStatistic	tValueSugar	WithinSugar	SugarVsControl_BW	BodyWeightInteraction	BodyWeight	SugarVsControl_FoodIntake	FoodIntakeInteraction	FoodIntake	SugarVsControl_Adj	WithinSugar_Adj	SugarVsControl_BW_Adj	BodyWeightInteraction_Adj	BodyWeight_Adj	SugarVsControl_FoodIntake_Adj	FoodIntakeInteraction_Adj	FoodIntake_Adj	BodyWeightSugarEstimate	BodyWeightSugarInteractionEstimate	FoodIntakeSugarEstimate	FoodIntakeSugarInteractionEstimate
Actinobacteria	4.64580946355213e-05	2.27881721542522	1.72401775259239	4.70634930689029	1.20573581839201	0.237343384429389	0.00190556610220283	0.218338178350303	0.761420127083137	0.00149914970322139	0.0727514906071835	0.572167226111887	0.000263262536267954	0.777996284866158	0.00809865593436201	0.955094142909753	0.874494318522631	0.0063713862386909	0.404092843302552	0.694774488850148	-0.00794752443247588	0.0108611419407072	-0.0510554900518342	0.0825248036984555
Alphaproteobacteria	0.0650871484264042	2.37116511904524	2.12846414672268	2.01474831763789	0.310179609663933	0.758568998499938	0.0284999253397355	0.959972188774579	0.0769161920273734	0.0286519704849428	0.389085125876874	0.124666675591861	0.122942391472097	0.805979560906184	0.0692141043965005	0.959972188774579	0.694151299384842	0.069583356892004	0.661444713990686	0.524761787712413	0.00407745890613242	-0.000280998469834387	-0.000673996106393779	-0.0256411485292305
Bacilli	0.000388042661024855	2.78001975625594	2.37127572465562	4.4759059820486	1.8607357722935	0.072608543585067	0.000141132893373933	0.77687225355155	0.792858819902918	7.73922434652517e-05	0.0950806690123652	0.355691140328941	0.00164918130935563	0.61717262047307	0.00119962959367843	0.955094142909753	0.874494318522631	0.00065783406945464	0.404092843302552	0.528777656244353	-0.000679480043354334	0.00143863267884955	-0.022486813154777	0.0435693019908321
Bacteroidia	0.830511576915812	4.1267649949233	4.11892410686717	0.217393134874684	0.605845897887511	0.549173848140818	0.839162761288477	0.359141857714526	0.233294691877957	0.843691768848474	0.861115923674789	0.868103716637152	0.830511576915812	0.777996284866158	0.839162761288477	0.955094142909753	0.694151299384842	0.843691768848474	0.914935668904463	0.868103716637152	0.00245479516618095	-0.00185851339652096	0.00222965115954554	-0.00191895783205328
Betaproteobacteria	0.018329786255104	2.57701527417299	2.18390624539873	2.60551726964012	-0.377225370147178	0.708661577294236	0.0220766652712036	0.842730126096841	0.285827005629053	0.0186520500792767	0.743248417762483	0.0702282761017718	0.0519343943894615	0.805979560906184	0.0625505516017437	0.955094142909753	0.694151299384842	0.0528474752246173	0.875144322025453	0.524761787712413	0.00495393675702419	-0.001716902828111	-0.0245450169836398	-0.0145567015811239
Clostridia	0.123246872952211	4.07775218916724	4.13428326960041	-1.6203716392278	-0.622534745033736	0.538293875870003	0.136130174958858	0.554042139331555	0.0883297927135964	0.151960949492598	0.702234012474812	0.851881949953746	0.174599736682298	0.777996284866158	0.178016382638507	0.955094142909753	0.694151299384842	0.19871816472109	0.875144322025453	0.868103716637152	-0.00224256766924028	0.00115666970593622	-0.00222363917384837	0.00410845172748574
Cytophagia	0.70117158241617	0.351309413015462	0.38678979575716	-0.390591125993138	-0.80266254527427	0.428483171175062	0.715232193772995	0.938057638195485	0.380207161219775	0.710786921727497	0.772186166493047	0.166493542201043	0.794661126738326	0.777996284866158	0.810596486276061	0.959972188774579	0.71816908230402	0.805558511291163	0.875144322025453	0.524761787712413	-0.00137569922733118	-0.000394041104270665	0.0102141430728983	0.00763864988677294
Deferribacteres	0.0179619313892642	1.27604728346122	1.76980679021352	-2.680070984243	-0.36696363699986	0.716221981144772	0.00818941836243813	0.447676742016159	0.460624591759205	0.00729371019362849	0.301729954006617	0.256823500591485	0.0519343943894615	0.805979560906184	0.0278440224322896	0.955094142909753	0.783061805990649	0.0247986146583369	0.599804947460648	0.528777656244353	-0.00845997771580387	0.00708492644275928	-0.0139364933788772	0.0502891188315855
Deltaproteobacteria	0.509572770231293	1.90109199018158	1.99645886921123	-0.678292564900084	-0.214251659205515	0.831800451590369	0.45044121912647	0.30163873014507	0.275586435628486	0.452282829083162	0.317543795714461	0.332111905633276	0.618766935280856	0.831800451590369	0.546964337510714	0.955094142909753	0.694151299384842	0.549200578172411	0.599804947460648	0.528777656244353	-0.00838108068346522	0.00683410970579277	-0.0116867893929357	0.0350833014365433
Erysipelotrichia	0.164930692632674	1.7369480739196	1.44778781108951	1.47357414321249	3.49429244850654	0.00149935101232068	0.104590236650398	0.218267272667235	0.823053476256594	0.0870391130277498	0.0180998503887386	0.736807272762117	0.215678598058112	0.0254889672094515	0.177803402305677	0.955094142909753	0.874494318522631	0.147966492147175	0.307697456608557	0.835048242463733	-0.0101456636422893	0.0113607662988771	-0.0777115020106176	0.112168343932428
